⚠️ File truncated for preview (showing first 0.5MB of 5.6MB)
────────────────────────────────────────────────────────────

timestamp,station,chlorine_mg_l,ph,turbidity_ntu,temperature_c,conductivity_us_cm,chlorine_compliant,ph_compliant,turbidity_compliant,overall_compliant
2024-01-01 02:00:00,Station-03-Residential-North,1.517,7.04,0.74,26.1,427.6,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-04-Residential-South,1.564,7.41,0.27,23.5,486.3,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-05-Coastal,1.687,7.2,0.13,35.0,511.0,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-06-Airport,1.67,7.38,0.65,25.5,484.0,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-07-Hospital,1.913,7.4,0.88,25.0,458.6,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-08-University,2.323,7.34,0.41,22.6,494.5,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-09-Mall,2.118,7.38,0.86,24.6,398.2,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-10-Port,2.245,7.33,0.32,26.4,468.2,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-11-Suburb-East,2.151,7.38,0.44,29.4,463.6,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-12-Suburb-West,1.993,7.19,0.66,24.4,432.7,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-01-Downtown,1.151,7.35,0.46,25.7,478.8,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-02-Industrial,1.325,7.42,0.21,35.0,485.7,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-03-Residential-North,1.836,7.23,0.61,24.5,429.3,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-04-Residential-South,1.609,7.26,0.56,32.5,510.1,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-05-Coastal,1.675,7.56,0.2,23.5,624.9,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-06-Airport,1.67,7.28,0.33,25.8,525.6,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-07-Hospital,1.735,7.21,0.5,23.7,419.4,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-08-University,1.911,7.35,0.36,24.0,447.0,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-09-Mall,2.179,7.49,0.4,25.3,496.0,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-10-Port,2.416,7.3,0.9,25.8,428.7,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-11-Suburb-East,2.142,7.21,0.69,23.3,445.3,Yes,Yes,Yes,Yes
2024-01-01 03:00:00,Station-12-Suburb-West,1.892,7.12,0.77,23.3,474.9,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-01-Downtown,1.449,7.37,1.5,22.2,468.6,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-02-Industrial,1.446,7.27,1.19,29.5,408.0,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-03-Residential-North,1.656,7.54,0.38,28.6,493.6,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-04-Residential-South,1.582,7.58,0.53,24.3,492.2,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-05-Coastal,1.775,7.27,0.61,23.6,507.4,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-06-Airport,1.761,7.28,0.3,24.6,432.5,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-07-Hospital,1.575,7.32,0.57,23.8,428.6,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-08-University,2.056,7.56,0.51,24.5,432.3,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-09-Mall,2.09,7.11,0.46,22.3,505.3,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-10-Port,2.342,7.46,0.29,25.3,415.8,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-11-Suburb-East,2.347,7.36,0.27,32.0,467.0,Yes,Yes,Yes,Yes
2024-01-01 04:00:00,Station-12-Suburb-West,1.715,7.38,0.38,22.0,464.0,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-01-Downtown,1.414,7.2,0.37,24.0,504.3,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-02-Industrial,1.272,7.57,0.42,22.8,445.4,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-03-Residential-North,1.329,7.6,0.69,31.5,458.8,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-04-Residential-South,1.49,7.32,0.36,28.9,407.3,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-05-Coastal,1.748,7.57,0.25,23.1,829.0,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-06-Airport,1.697,7.16,1.03,26.0,445.0,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-07-Hospital,1.804,7.18,0.87,22.7,463.8,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-08-University,1.972,7.39,0.47,25.8,444.5,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-09-Mall,2.224,7.4,0.47,26.3,421.8,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-10-Port,2.089,7.15,0.76,22.2,497.1,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-11-Suburb-East,2.642,7.3,0.04,23.9,447.7,Yes,Yes,Yes,Yes
2024-01-01 05:00:00,Station-12-Suburb-West,1.777,7.26,0.59,24.3,426.9,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-01-Downtown,1.338,7.1,0.62,26.1,424.5,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-02-Industrial,1.383,7.28,0.85,32.4,484.1,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-03-Residential-North,1.57,7.18,0.58,28.0,474.7,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-04-Residential-South,1.5,7.12,0.87,25.2,422.3,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-05-Coastal,1.503,7.34,0.06,23.8,535.2,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-06-Airport,1.612,7.09,0.66,26.7,497.7,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-07-Hospital,1.802,7.08,0.73,25.3,472.2,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-08-University,1.917,7.01,0.79,26.6,463.7,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-09-Mall,1.932,7.23,0.58,27.5,451.7,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-10-Port,2.319,7.55,0.72,22.3,435.9,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-11-Suburb-East,2.117,7.34,1.05,23.6,471.6,Yes,Yes,Yes,Yes
2024-01-01 06:00:00,Station-12-Suburb-West,1.935,7.4,0.43,24.4,407.8,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-01-Downtown,0.897,7.09,1.02,26.3,443.2,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-02-Industrial,1.125,7.39,0.37,28.6,420.2,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-03-Residential-North,1.393,7.41,0.37,28.5,408.3,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-04-Residential-South,1.472,7.29,0.82,22.9,473.3,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-05-Coastal,1.521,7.47,0.84,24.8,513.8,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-06-Airport,1.48,7.14,0.91,24.9,460.3,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-07-Hospital,1.515,7.46,0.3,25.9,481.8,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-08-University,1.7,7.29,0.72,27.0,490.3,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-09-Mall,2.225,7.0,0.27,26.0,410.9,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-10-Port,2.042,7.32,0.91,23.1,452.9,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-11-Suburb-East,2.083,7.49,0.55,23.7,434.7,Yes,Yes,Yes,Yes
2024-01-01 07:00:00,Station-12-Suburb-West,0.158,7.27,0.65,27.1,473.9,No,Yes,Yes,No
2024-01-01 08:00:00,Station-01-Downtown,1.31,7.43,0.98,23.5,456.4,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-02-Industrial,1.43,7.31,0.41,22.1,393.3,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-03-Residential-North,1.426,7.31,0.0,27.3,424.5,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-04-Residential-South,1.676,7.34,0.27,22.3,376.7,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-05-Coastal,1.61,7.33,0.79,24.1,511.3,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-06-Airport,1.531,7.22,0.21,25.4,485.7,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-07-Hospital,1.799,7.23,1.03,33.7,455.3,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-08-University,1.921,7.21,1.12,26.9,442.2,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-09-Mall,1.987,7.24,0.55,28.5,491.4,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-10-Port,2.254,7.42,0.37,32.4,509.4,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-11-Suburb-East,2.228,7.16,0.44,24.1,422.6,Yes,Yes,Yes,Yes
2024-01-01 08:00:00,Station-12-Suburb-West,1.895,7.46,0.25,32.0,497.0,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-01-Downtown,1.312,7.09,0.25,25.2,473.2,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-02-Industrial,1.274,7.37,0.35,27.3,453.3,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-03-Residential-North,1.366,7.59,0.76,23.9,466.5,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-04-Residential-South,1.424,7.1,0.79,22.9,455.0,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-05-Coastal,1.656,7.22,0.83,30.7,496.8,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-06-Airport,1.961,7.3,0.74,24.0,445.9,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-07-Hospital,1.768,7.13,0.72,29.6,428.8,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-08-University,1.762,7.32,0.57,23.4,495.3,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-09-Mall,1.932,7.49,0.34,23.0,405.7,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-10-Port,2.212,7.19,1.11,22.5,472.6,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-11-Suburb-East,2.271,7.37,0.97,26.2,451.5,Yes,Yes,Yes,Yes
2024-01-01 09:00:00,Station-12-Suburb-West,1.804,7.34,1.04,24.2,368.8,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-01-Downtown,1.286,7.37,0.57,25.4,452.2,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-02-Industrial,1.423,7.18,0.45,28.3,443.9,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-03-Residential-North,1.712,7.52,0.0,22.6,419.8,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-04-Residential-South,1.524,7.21,0.57,33.3,472.6,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-05-Coastal,1.424,7.34,0.4,23.1,523.2,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-06-Airport,1.764,7.18,0.4,24.5,449.4,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-07-Hospital,1.919,7.1,0.55,25.5,417.5,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-08-University,1.977,7.02,0.71,26.3,448.4,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-09-Mall,1.951,7.16,0.45,34.1,455.4,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-10-Port,2.3,7.25,0.35,22.9,460.5,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-11-Suburb-East,2.464,7.3,0.29,24.3,455.5,Yes,Yes,Yes,Yes
2024-01-01 10:00:00,Station-12-Suburb-West,2.233,7.25,0.18,26.4,387.1,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-01-Downtown,1.144,7.14,0.79,24.1,408.4,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-02-Industrial,1.34,7.54,0.19,24.7,457.8,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-03-Residential-North,1.499,7.11,0.46,24.5,432.5,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-04-Residential-South,1.384,7.47,0.38,24.0,450.5,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-05-Coastal,1.855,7.34,0.4,25.4,594.4,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-06-Airport,2.008,6.97,0.16,29.5,449.9,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-07-Hospital,1.895,7.34,0.51,27.6,411.3,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-08-University,1.728,7.38,0.86,25.9,423.9,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-09-Mall,2.217,7.38,0.28,28.4,466.8,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-10-Port,2.095,7.26,0.27,30.6,431.4,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-11-Suburb-East,2.143,7.25,0.4,26.1,480.0,Yes,Yes,Yes,Yes
2024-01-01 11:00:00,Station-12-Suburb-West,1.972,6.86,0.42,25.4,418.6,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-01-Downtown,1.354,7.43,0.52,29.0,451.3,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-02-Industrial,1.299,6.97,0.29,29.2,467.6,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-03-Residential-North,1.703,7.27,0.51,24.9,413.9,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-04-Residential-South,1.54,7.69,1.02,26.8,432.6,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-05-Coastal,1.91,7.49,0.02,22.1,506.1,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-06-Airport,1.793,7.41,0.47,26.7,440.7,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-07-Hospital,2.058,7.22,0.94,28.9,441.3,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-08-University,2.261,7.0,0.86,31.3,447.3,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-09-Mall,2.074,7.42,0.0,31.6,433.0,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-10-Port,2.206,7.17,0.43,27.9,438.0,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-11-Suburb-East,2.173,7.34,0.67,29.2,430.3,Yes,Yes,Yes,Yes
2024-01-01 12:00:00,Station-12-Suburb-West,1.952,7.31,0.41,22.3,403.1,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-01-Downtown,1.133,7.45,0.86,34.7,441.8,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-02-Industrial,1.401,7.1,0.49,29.0,405.4,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-03-Residential-North,1.336,7.27,0.45,27.1,440.2,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-04-Residential-South,1.528,6.91,0.65,26.1,489.1,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-05-Coastal,1.527,7.06,0.86,29.9,510.9,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-06-Airport,1.89,7.32,0.0,23.8,452.5,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-07-Hospital,1.67,7.05,1.0,22.1,437.5,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-08-University,2.028,7.1,0.05,29.2,466.0,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-09-Mall,2.138,7.27,0.57,26.0,438.1,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-10-Port,2.26,7.11,0.42,22.8,432.3,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-11-Suburb-East,2.567,7.44,0.34,24.5,464.2,Yes,Yes,Yes,Yes
2024-01-01 13:00:00,Station-12-Suburb-West,1.957,7.19,0.56,22.0,454.1,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-01-Downtown,1.484,7.17,0.68,26.5,427.4,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-02-Industrial,1.565,7.2,0.26,22.0,508.0,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-03-Residential-North,1.371,7.41,0.53,28.5,366.1,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-04-Residential-South,1.387,7.18,1.3,24.2,429.9,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-05-Coastal,1.491,7.21,0.5,23.6,502.4,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-06-Airport,1.691,7.24,1.02,25.6,432.6,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-07-Hospital,1.763,7.14,0.29,29.2,419.1,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-08-University,1.759,7.08,0.03,24.6,429.5,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-09-Mall,1.916,7.37,0.49,24.2,436.1,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-10-Port,2.439,7.34,0.64,34.9,430.4,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-11-Suburb-East,1.974,7.24,0.61,25.4,465.6,Yes,Yes,Yes,Yes
2024-01-01 14:00:00,Station-12-Suburb-West,1.847,7.39,0.03,23.3,462.6,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-01-Downtown,1.548,7.6,0.81,28.2,527.8,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-02-Industrial,1.351,7.35,0.23,22.2,445.1,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-03-Residential-North,1.285,7.36,0.31,27.9,481.3,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-04-Residential-South,1.28,7.39,0.64,32.3,459.8,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-05-Coastal,1.391,7.17,0.52,23.8,559.4,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-06-Airport,1.506,7.23,0.59,26.0,441.5,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-07-Hospital,1.832,7.3,0.62,23.8,407.2,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-08-University,2.064,7.28,0.0,29.2,474.0,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-09-Mall,2.188,7.43,0.78,25.4,388.2,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-10-Port,2.401,7.44,0.56,33.5,475.6,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-11-Suburb-East,2.342,7.25,0.35,27.8,478.0,Yes,Yes,Yes,Yes
2024-01-01 15:00:00,Station-12-Suburb-West,1.98,7.22,0.62,29.0,490.4,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-01-Downtown,1.188,7.12,0.45,22.6,455.1,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-02-Industrial,1.291,7.44,0.78,29.7,471.3,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-03-Residential-North,1.564,7.6,0.42,24.5,451.8,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-04-Residential-South,1.593,7.35,0.37,24.6,466.6,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-05-Coastal,1.801,7.5,0.55,22.1,535.5,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-06-Airport,1.693,7.32,0.59,22.3,413.4,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-07-Hospital,1.895,7.13,0.56,27.9,477.5,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-08-University,2.112,7.34,0.47,24.1,391.1,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-09-Mall,1.935,7.28,0.6,22.4,419.9,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-10-Port,2.22,7.23,0.18,23.6,443.7,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-11-Suburb-East,2.479,7.4,0.72,23.6,424.6,Yes,Yes,Yes,Yes
2024-01-01 16:00:00,Station-12-Suburb-West,1.86,7.08,1.36,27.4,443.7,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-01-Downtown,1.489,7.44,0.76,27.8,455.7,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-02-Industrial,1.162,7.34,0.82,22.6,477.0,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-03-Residential-North,1.442,7.33,0.1,25.3,437.8,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-04-Residential-South,1.661,7.35,0.45,23.1,438.4,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-05-Coastal,1.902,7.44,0.64,27.9,497.0,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-06-Airport,1.7,7.4,0.69,26.2,406.9,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-07-Hospital,2.062,7.12,0.9,23.3,426.5,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-08-University,2.158,7.35,0.93,22.4,464.2,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-09-Mall,2.181,7.18,0.53,28.5,470.4,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-10-Port,1.929,7.57,0.41,27.4,421.8,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-11-Suburb-East,2.64,7.36,0.61,25.5,469.8,Yes,Yes,Yes,Yes
2024-01-01 17:00:00,Station-12-Suburb-West,2.212,7.25,0.75,32.1,452.3,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-01-Downtown,1.083,7.35,0.75,22.9,449.5,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-02-Industrial,1.146,7.18,0.93,27.5,485.0,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-03-Residential-North,1.292,7.27,0.97,22.9,416.8,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-04-Residential-South,1.299,7.27,1.24,27.4,452.9,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-05-Coastal,1.514,7.55,1.04,25.5,520.6,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-06-Airport,1.871,7.28,0.72,27.4,474.8,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-07-Hospital,1.877,7.31,0.84,24.6,449.1,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-08-University,1.984,7.55,0.82,24.2,476.2,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-09-Mall,1.899,7.13,1.07,29.8,503.7,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-10-Port,2.181,7.33,0.82,30.8,421.6,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-11-Suburb-East,1.976,7.21,0.72,27.0,454.6,Yes,Yes,Yes,Yes
2024-01-01 18:00:00,Station-12-Suburb-West,1.87,7.18,1.28,29.0,411.7,Yes,Yes,Yes,Yes
2024-01-01 19:00:00,Station-01-Downtown,1.396,7.45,0.82,28.7,420.2,Yes,Yes,Yes,Yes
2024-01-01 19:00:00,Station-02-Industrial,1.227,7.25,1.05,23.5,465.8,Yes,Yes,Yes,Yes
2024-01-01 19:00:00,Station-03-Residential-North,1.485,7.42,1.03,24.6,442.1,Yes,Yes,Yes,Yes
2024-01-01 19:00:00,Station-04-Residential-South,1.175,7.34,0.6,24.0,465.8,Yes,Yes,Yes,Yes
2024-01-01 19:00:00,Station-05-Coastal,1.347,7.15,0.7,24.6,535.0,Yes,Yes,Yes,Yes
