⚠️ File truncated for preview (showing first 0.5MB of 3.4MB)
────────────────────────────────────────────────────────────

timestamp,facility,energy_consumption_kwh,energy_cost_usd,energy_rate_per_kwh,rate_period,water_produced_gallons,energy_efficiency_gal_per_kwh
2024-01-01 05:00:00,North-Pumping-Station,345.2,27.62,0.08,Off-Peak,414.2,1.2
2024-01-01 05:00:00,South-Pumping-Station,266.45,21.32,0.08,Off-Peak,319.7,1.2
2024-01-01 05:00:00,Desalination-Plant,807.74,64.62,0.08,Off-Peak,403.9,0.5
2024-01-01 05:00:00,Booster-Station-1,290.27,23.22,0.08,Off-Peak,348.3,1.2
2024-01-01 05:00:00,Booster-Station-2,204.52,16.36,0.08,Off-Peak,245.4,1.2
2024-01-01 05:00:00,Admin-Building,5.16,0.41,0.08,Off-Peak,,
2024-01-01 05:00:00,Laboratory,4.34,0.35,0.08,Off-Peak,,
2024-01-01 05:00:00,Operations-Center,5.56,0.44,0.08,Off-Peak,,
2024-01-01 06:00:00,Main-Treatment-Plant,1841.46,220.98,0.12,Mid,920.7,0.5
2024-01-01 06:00:00,North-Pumping-Station,802.43,96.29,0.12,Mid,962.9,1.2
2024-01-01 06:00:00,South-Pumping-Station,675.9,81.11,0.12,Mid,811.1,1.2
2024-01-01 06:00:00,Desalination-Plant,1911.46,229.38,0.12,Mid,955.7,0.5
2024-01-01 06:00:00,Booster-Station-1,658.68,79.04,0.12,Mid,790.4,1.2
2024-01-01 06:00:00,Booster-Station-2,720.06,86.41,0.12,Mid,864.1,1.2
2024-01-01 06:00:00,Admin-Building,9.74,1.17,0.12,Mid,,
2024-01-01 06:00:00,Laboratory,9.01,1.08,0.12,Mid,,
2024-01-01 06:00:00,Operations-Center,13.4,1.61,0.12,Mid,,
2024-01-01 07:00:00,Main-Treatment-Plant,1897.27,227.67,0.12,Mid,948.6,0.5
2024-01-01 07:00:00,North-Pumping-Station,860.82,103.3,0.12,Mid,1033.0,1.2
2024-01-01 07:00:00,South-Pumping-Station,635.85,76.3,0.12,Mid,763.0,1.2
2024-01-01 07:00:00,Desalination-Plant,1934.44,232.13,0.12,Mid,967.2,0.5
2024-01-01 07:00:00,Booster-Station-1,788.72,94.65,0.12,Mid,946.5,1.2
2024-01-01 07:00:00,Booster-Station-2,780.59,93.67,0.12,Mid,936.7,1.2
2024-01-01 07:00:00,Admin-Building,12.79,1.54,0.12,Mid,,
2024-01-01 07:00:00,Laboratory,12.06,1.45,0.12,Mid,,
2024-01-01 07:00:00,Operations-Center,9.3,1.12,0.12,Mid,,
2024-01-01 08:00:00,Main-Treatment-Plant,1657.51,198.9,0.12,Mid,828.8,0.5
2024-01-01 08:00:00,North-Pumping-Station,886.08,106.33,0.12,Mid,1063.3,1.2
2024-01-01 08:00:00,South-Pumping-Station,689.88,82.79,0.12,Mid,827.9,1.2
2024-01-01 08:00:00,Desalination-Plant,1902.65,228.32,0.12,Mid,951.3,0.5
2024-01-01 08:00:00,Booster-Station-1,788.17,94.58,0.12,Mid,945.8,1.2
2024-01-01 08:00:00,Booster-Station-2,717.47,86.1,0.12,Mid,861.0,1.2
2024-01-01 08:00:00,Admin-Building,104.1,12.49,0.12,Mid,,
2024-01-01 08:00:00,Laboratory,105.94,12.71,0.12,Mid,,
2024-01-01 08:00:00,Operations-Center,100.67,12.08,0.12,Mid,,
2024-01-01 09:00:00,Main-Treatment-Plant,1557.84,186.94,0.12,Mid,778.9,0.5
2024-01-01 09:00:00,North-Pumping-Station,953.0,114.36,0.12,Mid,1143.6,1.2
2024-01-01 09:00:00,South-Pumping-Station,669.09,80.29,0.12,Mid,802.9,1.2
2024-01-01 09:00:00,Desalination-Plant,1768.28,212.19,0.12,Mid,884.1,0.5
2024-01-01 09:00:00,Booster-Station-1,778.42,93.41,0.12,Mid,934.1,1.2
2024-01-01 09:00:00,Booster-Station-2,709.08,85.09,0.12,Mid,850.9,1.2
2024-01-01 09:00:00,Admin-Building,89.41,10.73,0.12,Mid,,
2024-01-01 09:00:00,Laboratory,137.88,16.55,0.12,Mid,,
2024-01-01 09:00:00,Operations-Center,127.24,15.27,0.12,Mid,,
2024-01-01 10:00:00,Main-Treatment-Plant,1206.77,144.81,0.12,Mid,603.4,0.5
2024-01-01 10:00:00,North-Pumping-Station,542.15,65.06,0.12,Mid,650.6,1.2
2024-01-01 10:00:00,South-Pumping-Station,461.19,55.34,0.12,Mid,553.4,1.2
2024-01-01 10:00:00,Desalination-Plant,1266.01,151.92,0.12,Mid,633.0,0.5
2024-01-01 10:00:00,Booster-Station-1,435.88,52.31,0.12,Mid,523.1,1.2
2024-01-01 10:00:00,Booster-Station-2,458.37,55.0,0.12,Mid,550.0,1.2
2024-01-01 10:00:00,Admin-Building,47.82,5.74,0.12,Mid,,
2024-01-01 10:00:00,Laboratory,84.86,10.18,0.12,Mid,,
2024-01-01 10:00:00,Operations-Center,78.89,9.47,0.12,Mid,,
2024-01-01 11:00:00,Main-Treatment-Plant,1301.08,156.13,0.12,Mid,650.5,0.5
2024-01-01 11:00:00,North-Pumping-Station,535.39,64.25,0.12,Mid,642.5,1.2
2024-01-01 11:00:00,South-Pumping-Station,426.01,51.12,0.12,Mid,511.2,1.2
2024-01-01 11:00:00,Desalination-Plant,1104.14,132.5,0.12,Mid,552.1,0.5
2024-01-01 11:00:00,Booster-Station-1,441.6,52.99,0.12,Mid,529.9,1.2
2024-01-01 11:00:00,Booster-Station-2,466.65,56.0,0.12,Mid,560.0,1.2
2024-01-01 11:00:00,Admin-Building,80.28,9.63,0.12,Mid,,
2024-01-01 11:00:00,Laboratory,38.03,4.56,0.12,Mid,,
2024-01-01 11:00:00,Operations-Center,84.32,10.12,0.12,Mid,,
2024-01-01 12:00:00,Main-Treatment-Plant,1407.23,168.87,0.12,Mid,703.6,0.5
2024-01-01 12:00:00,North-Pumping-Station,519.64,62.36,0.12,Mid,623.6,1.2
2024-01-01 12:00:00,South-Pumping-Station,450.82,54.1,0.12,Mid,541.0,1.2
2024-01-01 12:00:00,Desalination-Plant,1044.61,125.35,0.12,Mid,522.3,0.5
2024-01-01 12:00:00,Booster-Station-1,428.91,51.47,0.12,Mid,514.7,1.2
2024-01-01 12:00:00,Booster-Station-2,505.11,60.61,0.12,Mid,606.1,1.2
2024-01-01 12:00:00,Admin-Building,69.27,8.31,0.12,Mid,,
2024-01-01 12:00:00,Laboratory,46.51,5.58,0.12,Mid,,
2024-01-01 12:00:00,Operations-Center,77.32,9.28,0.12,Mid,,
2024-01-01 13:00:00,Main-Treatment-Plant,1216.72,146.01,0.12,Mid,608.4,0.5
2024-01-01 13:00:00,North-Pumping-Station,536.05,64.33,0.12,Mid,643.3,1.2
2024-01-01 13:00:00,South-Pumping-Station,450.59,54.07,0.12,Mid,540.7,1.2
2024-01-01 13:00:00,Desalination-Plant,1235.72,148.29,0.12,Mid,617.9,0.5
2024-01-01 13:00:00,Booster-Station-1,409.15,49.1,0.12,Mid,491.0,1.2
2024-01-01 13:00:00,Booster-Station-2,453.53,54.42,0.12,Mid,544.2,1.2
2024-01-01 13:00:00,Admin-Building,77.09,9.25,0.12,Mid,,
2024-01-01 13:00:00,Laboratory,75.65,9.08,0.12,Mid,,
2024-01-01 13:00:00,Operations-Center,67.93,8.15,0.12,Mid,,
2024-01-01 14:00:00,Main-Treatment-Plant,993.03,178.75,0.18,Peak,496.5,0.5
2024-01-01 14:00:00,North-Pumping-Station,684.55,123.22,0.18,Peak,821.5,1.2
2024-01-01 14:00:00,South-Pumping-Station,493.47,88.82,0.18,Peak,592.2,1.2
2024-01-01 14:00:00,Desalination-Plant,1263.08,227.35,0.18,Peak,631.5,0.5
2024-01-01 14:00:00,Booster-Station-1,379.8,68.36,0.18,Peak,455.8,1.2
2024-01-01 14:00:00,Booster-Station-2,451.34,81.24,0.18,Peak,541.6,1.2
2024-01-01 14:00:00,Admin-Building,70.94,12.77,0.18,Peak,,
2024-01-01 14:00:00,Laboratory,93.33,16.8,0.18,Peak,,
2024-01-01 14:00:00,Operations-Center,78.86,14.19,0.18,Peak,,
2024-01-01 15:00:00,Main-Treatment-Plant,1113.44,200.42,0.18,Peak,556.7,0.5
2024-01-01 15:00:00,North-Pumping-Station,584.78,105.26,0.18,Peak,701.7,1.2
2024-01-01 15:00:00,South-Pumping-Station,437.05,78.67,0.18,Peak,524.5,1.2
2024-01-01 15:00:00,Desalination-Plant,1073.22,193.18,0.18,Peak,536.6,0.5
2024-01-01 15:00:00,Booster-Station-1,441.65,79.5,0.18,Peak,530.0,1.2
2024-01-01 15:00:00,Booster-Station-2,528.52,95.13,0.18,Peak,634.2,1.2
2024-01-01 15:00:00,Admin-Building,66.57,11.98,0.18,Peak,,
2024-01-01 15:00:00,Laboratory,75.66,13.62,0.18,Peak,,
2024-01-01 15:00:00,Operations-Center,67.29,12.11,0.18,Peak,,
2024-01-01 16:00:00,Main-Treatment-Plant,1229.32,221.28,0.18,Peak,614.7,0.5
2024-01-01 16:00:00,North-Pumping-Station,595.61,107.21,0.18,Peak,714.7,1.2
2024-01-01 16:00:00,South-Pumping-Station,404.08,72.73,0.18,Peak,484.9,1.2
2024-01-01 16:00:00,Desalination-Plant,1243.58,223.84,0.18,Peak,621.8,0.5
2024-01-01 16:00:00,Booster-Station-1,447.05,80.47,0.18,Peak,536.5,1.2
2024-01-01 16:00:00,Booster-Station-2,428.57,77.14,0.18,Peak,514.3,1.2
2024-01-01 16:00:00,Admin-Building,61.5,11.07,0.18,Peak,,
2024-01-01 16:00:00,Laboratory,72.17,12.99,0.18,Peak,,
2024-01-01 16:00:00,Operations-Center,83.67,15.06,0.18,Peak,,
2024-01-01 17:00:00,Main-Treatment-Plant,1110.24,199.84,0.18,Peak,555.1,0.5
2024-01-01 17:00:00,North-Pumping-Station,599.85,107.97,0.18,Peak,719.8,1.2
2024-01-01 17:00:00,South-Pumping-Station,485.95,87.47,0.18,Peak,583.1,1.2
2024-01-01 17:00:00,Desalination-Plant,1172.77,211.1,0.18,Peak,586.4,0.5
2024-01-01 17:00:00,Booster-Station-1,485.95,87.47,0.18,Peak,583.1,1.2
2024-01-01 17:00:00,Booster-Station-2,440.42,79.28,0.18,Peak,528.5,1.2
2024-01-01 17:00:00,Admin-Building,105.54,19.0,0.18,Peak,,
2024-01-01 17:00:00,Laboratory,73.72,13.27,0.18,Peak,,
2024-01-01 17:00:00,Operations-Center,89.71,16.15,0.18,Peak,,
2024-01-01 18:00:00,Main-Treatment-Plant,1681.75,302.71,0.18,Peak,840.9,0.5
2024-01-01 18:00:00,North-Pumping-Station,746.72,134.41,0.18,Peak,896.1,1.2
2024-01-01 18:00:00,South-Pumping-Station,754.25,135.77,0.18,Peak,905.1,1.2
2024-01-01 18:00:00,Desalination-Plant,1531.86,275.74,0.18,Peak,765.9,0.5
2024-01-01 18:00:00,Booster-Station-1,711.26,128.03,0.18,Peak,853.5,1.2
2024-01-01 18:00:00,Booster-Station-2,612.04,110.17,0.18,Peak,734.4,1.2
2024-01-01 18:00:00,Admin-Building,12.63,2.27,0.18,Peak,,
2024-01-01 18:00:00,Laboratory,10.5,1.89,0.18,Peak,,
2024-01-01 18:00:00,Operations-Center,12.41,2.23,0.18,Peak,,
2024-01-01 19:00:00,Main-Treatment-Plant,1708.2,307.48,0.18,Peak,854.1,0.5
2024-01-01 19:00:00,North-Pumping-Station,823.0,148.14,0.18,Peak,987.6,1.2
2024-01-01 19:00:00,South-Pumping-Station,646.04,116.29,0.18,Peak,775.3,1.2
2024-01-01 19:00:00,Desalination-Plant,1697.27,305.51,0.18,Peak,848.6,0.5
2024-01-01 19:00:00,Booster-Station-1,704.37,126.79,0.18,Peak,845.2,1.2
2024-01-01 19:00:00,Booster-Station-2,673.06,121.15,0.18,Peak,807.7,1.2
2024-01-01 19:00:00,Admin-Building,10.5,1.89,0.18,Peak,,
2024-01-01 19:00:00,Laboratory,11.15,2.01,0.18,Peak,,
2024-01-01 19:00:00,Operations-Center,7.21,1.3,0.18,Peak,,
2024-01-01 20:00:00,Main-Treatment-Plant,1664.83,299.67,0.18,Peak,832.4,0.5
2024-01-01 20:00:00,North-Pumping-Station,718.63,129.35,0.18,Peak,862.4,1.2
2024-01-01 20:00:00,South-Pumping-Station,567.37,102.13,0.18,Peak,680.8,1.2
2024-01-01 20:00:00,Desalination-Plant,1661.93,299.15,0.18,Peak,831.0,0.5
2024-01-01 20:00:00,Booster-Station-1,576.25,103.72,0.18,Peak,691.5,1.2
2024-01-01 20:00:00,Booster-Station-2,598.66,107.76,0.18,Peak,718.4,1.2
2024-01-01 20:00:00,Admin-Building,15.3,2.75,0.18,Peak,,
2024-01-01 20:00:00,Laboratory,8.3,1.49,0.18,Peak,,
2024-01-01 20:00:00,Operations-Center,10.59,1.91,0.18,Peak,,
2024-01-01 21:00:00,Main-Treatment-Plant,1711.95,205.43,0.12,Mid,856.0,0.5
2024-01-01 21:00:00,North-Pumping-Station,803.99,96.48,0.12,Mid,964.8,1.2
2024-01-01 21:00:00,South-Pumping-Station,659.56,79.15,0.12,Mid,791.5,1.2
2024-01-01 21:00:00,Desalination-Plant,1801.95,216.23,0.12,Mid,901.0,0.5
2024-01-01 21:00:00,Booster-Station-1,590.08,70.81,0.12,Mid,708.1,1.2
2024-01-01 21:00:00,Booster-Station-2,602.61,72.31,0.12,Mid,723.1,1.2
2024-01-01 21:00:00,Admin-Building,7.24,0.87,0.12,Mid,,
2024-01-01 21:00:00,Laboratory,7.59,0.91,0.12,Mid,,
2024-01-01 21:00:00,Operations-Center,10.08,1.21,0.12,Mid,,
2024-01-01 22:00:00,Main-Treatment-Plant,1111.94,133.43,0.12,Mid,556.0,0.5
2024-01-01 22:00:00,North-Pumping-Station,588.71,70.64,0.12,Mid,706.4,1.2
2024-01-01 22:00:00,South-Pumping-Station,515.03,61.8,0.12,Mid,618.0,1.2
2024-01-01 22:00:00,Desalination-Plant,1075.74,129.09,0.12,Mid,537.9,0.5
2024-01-01 22:00:00,Booster-Station-1,501.13,60.14,0.12,Mid,601.4,1.2
2024-01-01 22:00:00,Booster-Station-2,471.59,56.59,0.12,Mid,565.9,1.2
2024-01-01 22:00:00,Admin-Building,9.13,1.1,0.12,Mid,,
2024-01-01 22:00:00,Laboratory,6.53,0.78,0.12,Mid,,
2024-01-01 22:00:00,Operations-Center,8.19,0.98,0.12,Mid,,
2024-01-01 23:00:00,Main-Treatment-Plant,1219.41,146.33,0.12,Mid,609.7,0.5
2024-01-01 23:00:00,North-Pumping-Station,495.22,59.43,0.12,Mid,594.3,1.2
2024-01-01 23:00:00,South-Pumping-Station,410.43,49.25,0.12,Mid,492.5,1.2
2024-01-01 23:00:00,Desalination-Plant,1191.76,143.01,0.12,Mid,595.9,0.5
2024-01-01 23:00:00,Booster-Station-1,434.79,52.17,0.12,Mid,521.7,1.2
2024-01-01 23:00:00,Booster-Station-2,449.62,53.95,0.12,Mid,539.5,1.2
2024-01-01 23:00:00,Admin-Building,7.76,0.93,0.12,Mid,,
2024-01-01 23:00:00,Laboratory,9.32,1.12,0.12,Mid,,
2024-01-01 23:00:00,Operations-Center,8.61,1.03,0.12,Mid,,
2024-01-02 00:00:00,Main-Treatment-Plant,748.87,59.91,0.08,Off-Peak,374.4,0.5
2024-01-02 00:00:00,North-Pumping-Station,305.58,24.45,0.08,Off-Peak,366.7,1.2
2024-01-02 00:00:00,South-Pumping-Station,206.2,16.5,0.08,Off-Peak,247.4,1.2
2024-01-02 00:00:00,Desalination-Plant,768.23,61.46,0.08,Off-Peak,384.1,0.5
2024-01-02 00:00:00,Booster-Station-1,247.09,19.77,0.08,Off-Peak,296.5,1.2
2024-01-02 00:00:00,Booster-Station-2,277.44,22.2,0.08,Off-Peak,332.9,1.2
2024-01-02 00:00:00,Admin-Building,4.23,0.34,0.08,Off-Peak,,
2024-01-02 00:00:00,Laboratory,3.25,0.26,0.08,Off-Peak,,
2024-01-02 00:00:00,Operations-Center,3.8,0.3,0.08,Off-Peak,,
2024-01-02 01:00:00,Main-Treatment-Plant,808.31,64.66,0.08,Off-Peak,404.2,0.5
2024-01-02 01:00:00,North-Pumping-Station,303.37,24.27,0.08,Off-Peak,364.0,1.2
2024-01-02 01:00:00,South-Pumping-Station,287.15,22.97,0.08,Off-Peak,344.6,1.2
2024-01-02 01:00:00,Desalination-Plant,805.02,64.4,0.08,Off-Peak,402.5,0.5
2024-01-02 01:00:00,Booster-Station-1,287.78,23.02,0.08,Off-Peak,345.3,1.2
2024-01-02 01:00:00,Booster-Station-2,298.54,23.88,0.08,Off-Peak,358.2,1.2
2024-01-02 01:00:00,Admin-Building,3.59,0.29,0.08,Off-Peak,,
2024-01-02 01:00:00,Laboratory,4.33,0.35,0.08,Off-Peak,,
2024-01-02 01:00:00,Operations-Center,4.87,0.39,0.08,Off-Peak,,
2024-01-02 02:00:00,Main-Treatment-Plant,862.89,69.03,0.08,Off-Peak,431.4,0.5
2024-01-02 02:00:00,North-Pumping-Station,315.79,25.26,0.08,Off-Peak,378.9,1.2
2024-01-02 02:00:00,South-Pumping-Station,274.94,22.0,0.08,Off-Peak,329.9,1.2
2024-01-02 02:00:00,Desalination-Plant,613.97,49.12,0.08,Off-Peak,307.0,0.5
2024-01-02 02:00:00,Booster-Station-1,246.51,19.72,0.08,Off-Peak,295.8,1.2
2024-01-02 02:00:00,Booster-Station-2,281.25,22.5,0.08,Off-Peak,337.5,1.2
2024-01-02 02:00:00,Admin-Building,5.88,0.47,0.08,Off-Peak,,
2024-01-02 02:00:00,Laboratory,4.34,0.35,0.08,Off-Peak,,
2024-01-02 02:00:00,Operations-Center,4.64,0.37,0.08,Off-Peak,,
2024-01-02 03:00:00,Main-Treatment-Plant,710.36,56.83,0.08,Off-Peak,355.2,0.5
2024-01-02 03:00:00,North-Pumping-Station,255.2,20.42,0.08,Off-Peak,306.2,1.2
2024-01-02 03:00:00,South-Pumping-Station,270.25,21.62,0.08,Off-Peak,324.3,1.2
2024-01-02 03:00:00,Desalination-Plant,693.96,55.52,0.08,Off-Peak,347.0,0.5
2024-01-02 03:00:00,Booster-Station-1,248.46,19.88,0.08,Off-Peak,298.2,1.2
2024-01-02 03:00:00,Booster-Station-2,252.21,20.18,0.08,Off-Peak,302.6,1.2
2024-01-02 03:00:00,Admin-Building,5.56,0.44,0.08,Off-Peak,,
2024-01-02 03:00:00,Laboratory,4.27,0.34,0.08,Off-Peak,,
2024-01-02 03:00:00,Operations-Center,4.92,0.39,0.08,Off-Peak,,
2024-01-02 04:00:00,Main-Treatment-Plant,836.27,66.9,0.08,Off-Peak,418.1,0.5
2024-01-02 04:00:00,North-Pumping-Station,368.28,29.46,0.08,Off-Peak,441.9,1.2
2024-01-02 04:00:00,South-Pumping-Station,298.49,23.88,0.08,Off-Peak,358.2,1.2
2024-01-02 04:00:00,Desalination-Plant,665.26,53.22,0.08,Off-Peak,332.6,0.5
2024-01-02 04:00:00,Booster-Station-1,284.11,22.73,0.08,Off-Peak,340.9,1.2
2024-01-02 04:00:00,Booster-Station-2,258.94,20.71,0.08,Off-Peak,310.7,1.2
2024-01-02 04:00:00,Admin-Building,4.99,0.4,0.08,Off-Peak,,
2024-01-02 04:00:00,Laboratory,4.26,0.34,0.08,Off-Peak,,
2024-01-02 04:00:00,Operations-Center,5.51,0.44,0.08,Off-Peak,,
2024-01-02 05:00:00,Main-Treatment-Plant,850.01,68.0,0.08,Off-Peak,425.0,0.5
2024-01-02 05:00:00,North-Pumping-Station,348.44,27.87,0.08,Off-Peak,418.1,1.2
2024-01-02 05:00:00,South-Pumping-Station,266.87,21.35,0.08,Off-Peak,320.2,1.2
2024-01-02 05:00:00,Desalination-Plant,754.89,60.39,0.08,Off-Peak,377.4,0.5
2024-01-02 05:00:00,Booster-Station-1,302.29,24.18,0.08,Off-Peak,362.7,1.2
2024-01-02 05:00:00,Booster-Station-2,286.49,22.92,0.08,Off-Peak,343.8,1.2
2024-01-02 05:00:00,Admin-Building,3.13,0.25,0.08,Off-Peak,,
2024-01-02 05:00:00,Laboratory,4.36,0.35,0.08,Off-Peak,,
2024-01-02 05:00:00,Operations-Center,4.84,0.39,0.08,Off-Peak,,
2024-01-02 06:00:00,Main-Treatment-Plant,1724.14,206.9,0.12,Mid,862.1,0.5
2024-01-02 06:00:00,North-Pumping-Station,747.54,89.7,0.12,Mid,897.0,1.2
2024-01-02 06:00:00,South-Pumping-Station,594.88,71.39,0.12,Mid,713.9,1.2
2024-01-02 06:00:00,Desalination-Plant,1885.5,226.26,0.12,Mid,942.8,0.5
2024-01-02 06:00:00,Booster-Station-1,745.68,89.48,0.12,Mid,894.8,1.2
2024-01-02 06:00:00,Booster-Station-2,727.51,87.3,0.12,Mid,873.0,1.2
2024-01-02 06:00:00,Admin-Building,11.3,1.36,0.12,Mid,,
2024-01-02 06:00:00,Laboratory,13.76,1.65,0.12,Mid,,
2024-01-02 06:00:00,Operations-Center,9.61,1.15,0.12,Mid,,
2024-01-02 07:00:00,Main-Treatment-Plant,1755.54,210.66,0.12,Mid,877.8,0.5
2024-01-02 07:00:00,North-Pumping-Station,901.91,108.23,0.12,Mid,1082.3,1.2
2024-01-02 07:00:00,South-Pumping-Station,601.65,72.2,0.12,Mid,722.0,1.2
2024-01-02 07:00:00,Desalination-Plant,1789.25,214.71,0.12,Mid,894.6,0.5
2024-01-02 07:00:00,Booster-Station-1,618.42,74.21,0.12,Mid,742.1,1.2
2024-01-02 07:00:00,Booster-Station-2,754.52,90.54,0.12,Mid,905.4,1.2
2024-01-02 07:00:00,Admin-Building,11.65,1.4,0.12,Mid,,
2024-01-02 07:00:00,Laboratory,12.21,1.47,0.12,Mid,,
2024-01-02 07:00:00,Operations-Center,11.96,1.44,0.12,Mid,,
2024-01-02 08:00:00,Main-Treatment-Plant,1867.52,224.1,0.12,Mid,933.8,0.5
2024-01-02 08:00:00,North-Pumping-Station,828.96,99.48,0.12,Mid,994.8,1.2
2024-01-02 08:00:00,South-Pumping-Station,666.44,79.97,0.12,Mid,799.7,1.2
2024-01-02 08:00:00,Desalination-Plant,1773.34,212.8,0.12,Mid,886.7,0.5
2024-01-02 08:00:00,Booster-Station-1,667.22,80.07,0.12,Mid,800.7,1.2
2024-01-02 08:00:00,Booster-Station-2,612.08,73.45,0.12,Mid,734.5,1.2
2024-01-02 08:00:00,Admin-Building,136.24,16.35,0.12,Mid,,
2024-01-02 08:00:00,Laboratory,119.13,14.3,0.12,Mid,,
2024-01-02 08:00:00,Operations-Center,180.98,21.72,0.12,Mid,,
2024-01-02 09:00:00,Main-Treatment-Plant,1796.85,215.62,0.12,Mid,898.4,0.5
2024-01-02 09:00:00,North-Pumping-Station,908.46,109.02,0.12,Mid,1090.2,1.2
2024-01-02 09:00:00,South-Pumping-Station,763.32,91.6,0.12,Mid,916.0,1.2
2024-01-02 09:00:00,Desalination-Plant,1668.3,200.2,0.12,Mid,834.1,0.5
2024-01-02 09:00:00,Booster-Station-1,648.78,77.85,0.12,Mid,778.5,1.2
2024-01-02 09:00:00,Booster-Station-2,716.46,85.98,0.12,Mid,859.8,1.2
2024-01-02 09:00:00,Admin-Building,97.38,11.69,0.12,Mid,,
2024-01-02 09:00:00,Laboratory,134.4,16.13,0.12,Mid,,
