complaint_id,customer_id,complaint_date,complaint_type,priority,status,location,resolution_date,resolution_hours,customer_satisfied
COMP-01966,CUST-04389,2024-01-03 00:00:00,High-Bill,High,Closed,Zone-B-North,2024-01-03 06:33:55,6.6,No
COMP-00144,CUST-01489,2024-01-04 00:00:00,Service-Interruption,Critical,Closed,Station-12-Suburb-West,2024-01-04 11:58:38,12.0,Pending
COMP-00213,CUST-04491,2024-01-04 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-05 09:56:45,33.9,Yes
COMP-00403,CUST-02442,2024-01-04 00:00:00,High-Bill,Low,Closed,Station-12-Suburb-West,2024-01-09 12:49:49,132.8,Yes
COMP-00642,CUST-01174,2024-01-04 00:00:00,High-Bill,Critical,Closed,Zone-F-Industrial,2024-01-04 11:37:16,11.6,No
COMP-00727,CUST-04164,2024-01-04 00:00:00,Leak-Reported,High,Closed,Station-10-Port,2024-01-04 23:29:12,23.5,No
COMP-01271,CUST-04909,2024-01-04 00:00:00,Leak-Reported,High,Closed,Station-05-Coastal,2024-01-04 20:52:23,20.9,No
COMP-01310,CUST-02782,2024-01-04 00:00:00,Leak-Reported,Medium,Resolved,Zone-D-East,2024-01-06 05:38:10,53.6,Yes
COMP-01814,CUST-00008,2024-01-04 00:00:00,Low-Pressure,High,Closed,Station-02-Industrial,2024-01-04 12:53:35,12.9,No
COMP-01985,CUST-04090,2024-01-04 00:00:00,High-Bill,High,Closed,Zone-H-Hills,2024-01-04 20:23:04,20.4,Yes
COMP-00199,CUST-04052,2024-01-05 00:00:00,Leak-Reported,Low,Closed,Station-06-Airport,2024-01-12 19:38:32,187.6,No
COMP-00207,CUST-01944,2024-01-05 00:00:00,Meter-Issue,High,Resolved,Zone-B-North,2024-01-06 10:14:55,34.2,Yes
COMP-00216,CUST-02537,2024-01-05 00:00:00,Water-Quality,High,Closed,Station-05-Coastal,2024-01-05 21:39:01,21.7,Yes
COMP-00391,CUST-01122,2024-01-05 00:00:00,Service-Interruption,High,Closed,Station-04-Residential-South,2024-01-06 15:55:24,39.9,Pending
COMP-00593,CUST-04831,2024-01-05 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-06 04:28:46,28.5,Yes
COMP-00734,CUST-02372,2024-01-05 00:00:00,Water-Quality,High,Resolved,Zone-A-Downtown,2024-01-06 11:13:44,35.2,Yes
COMP-00783,CUST-02599,2024-01-05 00:00:00,High-Bill,Medium,Closed,Zone-F-Industrial,2024-01-09 20:57:23,117.0,Pending
COMP-00910,CUST-01434,2024-01-05 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-07 17:06:59,65.1,Yes
COMP-01183,CUST-00582,2024-01-05 00:00:00,Water-Quality,Critical,Closed,Zone-B-North,2024-01-05 07:03:21,7.1,Pending
COMP-00077,CUST-03434,2024-01-06 00:00:00,High-Bill,Medium,Closed,Station-02-Industrial,2024-01-08 11:51:28,59.9,Yes
COMP-01048,CUST-04211,2024-01-06 00:00:00,Service-Interruption,High,Resolved,Zone-C-South,2024-01-07 07:40:00,31.7,Yes
COMP-01817,CUST-01681,2024-01-06 00:00:00,Water-Quality,Medium,Closed,Station-12-Suburb-West,2024-01-09 14:14:10,86.2,Yes
COMP-01978,CUST-03586,2024-01-06 00:00:00,Billing-Error,Critical,Resolved,Zone-E-West,2024-01-06 03:48:43,3.8,No
COMP-00572,CUST-02850,2024-01-07 00:00:00,Leak-Reported,High,Closed,Station-03-Residential-North,2024-01-07 20:12:07,20.2,Yes
COMP-00578,CUST-03605,2024-01-07 00:00:00,High-Bill,Medium,Closed,Station-10-Port,2024-01-10 12:20:58,84.3,No
COMP-00679,CUST-01037,2024-01-07 00:00:00,Customer-Service,Medium,Closed,Station-12-Suburb-West,2024-01-10 17:07:16,89.1,Yes
COMP-00716,CUST-03437,2024-01-07 00:00:00,Leak-Reported,Medium,Closed,Station-12-Suburb-West,2024-01-11 07:56:09,103.9,Pending
COMP-01127,CUST-02943,2024-01-07 00:00:00,Connection-Request,High,Resolved,Station-08-University,2024-01-07 12:55:56,12.9,No
COMP-01267,CUST-00986,2024-01-07 00:00:00,Service-Interruption,Low,Closed,Station-06-Airport,2024-01-12 23:58:35,144.0,Pending
COMP-01315,CUST-03804,2024-01-07 00:00:00,Water-Quality,Low,Closed,Station-01-Downtown,2024-01-13 02:23:59,146.4,Pending
COMP-01445,CUST-00606,2024-01-07 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-08 16:04:27,40.1,Yes
COMP-01570,CUST-01172,2024-01-07 00:00:00,Other,Low,Closed,Station-07-Hospital,2024-01-15 03:34:05,195.6,No
COMP-01586,CUST-03037,2024-01-07 00:00:00,Connection-Request,Critical,Resolved,Station-12-Suburb-West,2024-01-07 04:41:36,4.7,Yes
COMP-01616,CUST-00631,2024-01-07 00:00:00,Low-Pressure,Medium,Resolved,Zone-H-Hills,2024-01-08 08:09:17,32.2,No
COMP-01651,CUST-01186,2024-01-07 00:00:00,Water-Quality,Critical,Resolved,Station-12-Suburb-West,2024-01-07 08:02:24,8.0,Yes
COMP-01773,CUST-01766,2024-01-07 00:00:00,Service-Interruption,High,Closed,Station-07-Hospital,2024-01-08 07:59:05,32.0,Yes
COMP-01826,CUST-00826,2024-01-07 00:00:00,Connection-Request,Medium,Closed,Zone-C-South,2024-01-09 21:29:33,69.5,No
COMP-01969,CUST-04028,2024-01-07 00:00:00,Low-Pressure,Medium,Resolved,Zone-H-Hills,2024-01-09 17:01:23,65.0,No
COMP-00810,CUST-03603,2024-01-08 00:00:00,Low-Pressure,High,Closed,Zone-G-Coastal,2024-01-09 06:24:21,30.4,No
COMP-00935,CUST-00838,2024-01-08 00:00:00,Meter-Issue,Low,Closed,Station-01-Downtown,2024-01-15 03:18:03,171.3,Yes
COMP-01038,CUST-02664,2024-01-08 00:00:00,Service-Interruption,High,Closed,Zone-C-South,2024-01-09 15:29:08,39.5,Yes
COMP-01207,CUST-03989,2024-01-08 00:00:00,High-Bill,Medium,Resolved,Zone-C-South,2024-01-09 16:03:59,40.1,No
COMP-01262,CUST-01297,2024-01-08 00:00:00,High-Bill,High,Closed,Station-11-Suburb-East,2024-01-08 09:32:40,9.5,Yes
COMP-01374,CUST-00992,2024-01-08 00:00:00,High-Bill,Critical,Closed,Zone-E-West,2024-01-08 08:57:35,9.0,Pending
COMP-01662,CUST-02127,2024-01-08 00:00:00,Connection-Request,Medium,Resolved,Zone-F-Industrial,2024-01-09 17:03:37,41.1,Pending
COMP-01876,CUST-02751,2024-01-08 00:00:00,High-Bill,Low,Closed,Zone-D-East,2024-01-12 09:31:05,105.5,Pending
COMP-01968,CUST-04405,2024-01-08 00:00:00,Service-Interruption,High,Closed,Station-02-Industrial,2024-01-08 13:09:15,13.2,Yes
COMP-00206,CUST-03600,2024-01-09 00:00:00,Low-Pressure,Medium,In-Progress,Zone-H-Hills,,,
COMP-00742,CUST-02170,2024-01-09 00:00:00,High-Bill,Low,Closed,Station-10-Port,2024-01-12 11:41:31,83.7,Pending
COMP-00744,CUST-01460,2024-01-09 00:00:00,Service-Interruption,High,Closed,Zone-B-North,2024-01-10 21:00:01,45.0,No
COMP-00778,CUST-00871,2024-01-09 00:00:00,Service-Interruption,High,Closed,Zone-F-Industrial,2024-01-09 17:42:49,17.7,Yes
COMP-00988,CUST-02313,2024-01-09 00:00:00,Water-Quality,Medium,Closed,Station-12-Suburb-West,2024-01-12 11:57:10,84.0,Pending
COMP-01213,CUST-03370,2024-01-09 00:00:00,Water-Quality,Critical,Closed,Station-12-Suburb-West,2024-01-09 04:01:49,4.0,Pending
COMP-01422,CUST-02184,2024-01-09 00:00:00,Low-Pressure,Medium,Closed,Station-01-Downtown,2024-01-12 18:37:31,90.6,No
COMP-01636,CUST-01199,2024-01-09 00:00:00,Connection-Request,Medium,Closed,Zone-C-South,2024-01-13 19:15:57,115.3,Yes
COMP-01655,CUST-03094,2024-01-09 00:00:00,Water-Quality,Critical,Closed,Station-12-Suburb-West,2024-01-09 08:35:03,8.6,Pending
COMP-01685,CUST-02973,2024-01-09 00:00:00,Service-Interruption,High,Closed,Zone-H-Hills,2024-01-10 03:22:52,27.4,Pending
COMP-01702,CUST-02047,2024-01-09 00:00:00,High-Bill,High,Resolved,Zone-E-West,2024-01-09 14:56:29,14.9,No
COMP-01804,CUST-00237,2024-01-09 00:00:00,Low-Pressure,Medium,Closed,Station-06-Airport,2024-01-12 19:57:24,92.0,No
COMP-01980,CUST-01437,2024-01-09 00:00:00,Leak-Reported,High,Closed,Station-07-Hospital,2024-01-09 11:23:09,11.4,Yes
COMP-00100,CUST-02744,2024-01-10 00:00:00,Water-Quality,High,Resolved,Station-06-Airport,2024-01-10 12:41:28,12.7,No
COMP-00128,CUST-04855,2024-01-10 00:00:00,Low-Pressure,Medium,Resolved,Zone-H-Hills,2024-01-12 14:31:00,62.5,Pending
COMP-00698,CUST-02650,2024-01-10 00:00:00,Other,High,Closed,Station-06-Airport,2024-01-11 23:45:04,47.8,Yes
COMP-00793,CUST-02588,2024-01-10 00:00:00,Water-Quality,Low,Closed,Station-02-Industrial,2024-01-16 06:48:24,150.8,Pending
COMP-01126,CUST-03914,2024-01-10 00:00:00,High-Bill,High,Closed,Zone-H-Hills,2024-01-10 16:41:55,16.7,Pending
COMP-01467,CUST-04080,2024-01-10 00:00:00,Leak-Reported,High,Closed,Station-12-Suburb-West,2024-01-11 19:32:44,43.5,Pending
COMP-01468,CUST-00677,2024-01-10 00:00:00,Low-Pressure,High,Closed,Zone-H-Hills,2024-01-10 08:14:48,8.2,No
COMP-01507,CUST-03869,2024-01-10 00:00:00,Service-Interruption,Critical,Closed,Zone-E-West,2024-01-10 04:12:46,4.2,Yes
COMP-01798,CUST-01356,2024-01-10 00:00:00,Low-Pressure,High,In-Progress,Zone-H-Hills,,,
COMP-01801,CUST-04810,2024-01-10 00:00:00,Service-Interruption,High,Closed,Station-09-Mall,2024-01-11 19:53:17,43.9,No
COMP-00310,CUST-02350,2024-01-11 00:00:00,Connection-Request,Low,Closed,Zone-A-Downtown,2024-01-15 17:34:47,113.6,Pending
COMP-00706,CUST-03777,2024-01-11 00:00:00,Leak-Reported,Medium,Closed,Station-12-Suburb-West,2024-01-13 15:59:00,64.0,Pending
COMP-00961,CUST-03015,2024-01-11 00:00:00,Low-Pressure,High,Closed,Station-12-Suburb-West,2024-01-12 06:53:54,30.9,Yes
COMP-01066,CUST-01407,2024-01-11 00:00:00,Billing-Error,High,Closed,Zone-F-Industrial,2024-01-12 05:41:57,29.7,No
COMP-01170,CUST-00891,2024-01-11 00:00:00,Meter-Issue,Medium,Closed,Station-01-Downtown,2024-01-14 16:50:43,88.8,No
COMP-01319,CUST-04033,2024-01-11 00:00:00,Low-Pressure,Medium,Resolved,Zone-D-East,2024-01-15 23:41:23,119.7,Pending
COMP-01370,CUST-04662,2024-01-11 00:00:00,Connection-Request,Low,Closed,Zone-D-East,2024-01-16 11:56:27,131.9,Yes
COMP-01441,CUST-00433,2024-01-11 00:00:00,Leak-Reported,Medium,Closed,Station-02-Industrial,2024-01-15 03:02:59,99.0,Pending
COMP-01658,CUST-04557,2024-01-11 00:00:00,Meter-Issue,Medium,Closed,Station-04-Residential-South,2024-01-15 19:54:29,115.9,Yes
COMP-01971,CUST-04904,2024-01-11 00:00:00,High-Bill,Medium,Closed,Zone-C-South,2024-01-15 23:49:47,119.8,Pending
COMP-01974,CUST-04884,2024-01-11 00:00:00,Billing-Error,Medium,In-Progress,Zone-H-Hills,,,
COMP-00026,CUST-01112,2024-01-12 00:00:00,Leak-Reported,Medium,Closed,Zone-H-Hills,2024-01-14 09:10:16,57.2,No
COMP-00374,CUST-00004,2024-01-12 00:00:00,Leak-Reported,High,Closed,Zone-F-Industrial,2024-01-13 06:51:03,30.9,No
COMP-00822,CUST-02939,2024-01-12 00:00:00,Low-Pressure,High,Closed,Zone-A-Downtown,2024-01-12 13:10:13,13.2,No
COMP-01130,CUST-04735,2024-01-12 00:00:00,High-Bill,Medium,Closed,Station-08-University,2024-01-16 19:52:56,115.9,No
COMP-01282,CUST-02013,2024-01-12 00:00:00,Customer-Service,Low,Closed,Zone-G-Coastal,2024-01-19 06:19:57,174.3,No
COMP-01416,CUST-02555,2024-01-12 00:00:00,Leak-Reported,High,Closed,Station-01-Downtown,2024-01-13 17:41:23,41.7,Yes
COMP-01424,CUST-03093,2024-01-12 00:00:00,Water-Quality,High,Resolved,Zone-C-South,2024-01-12 21:47:09,21.8,Yes
COMP-01471,CUST-02573,2024-01-12 00:00:00,Water-Quality,Medium,Closed,Station-08-University,2024-01-14 02:35:09,50.6,Yes
COMP-01770,CUST-00902,2024-01-12 00:00:00,Water-Quality,High,Closed,Zone-F-Industrial,2024-01-13 05:34:52,29.6,Yes
COMP-01791,CUST-00721,2024-01-12 00:00:00,Service-Interruption,High,Closed,Zone-H-Hills,2024-01-13 18:49:18,42.8,Pending
COMP-00096,CUST-04695,2024-01-13 00:00:00,Leak-Reported,Low,Closed,Station-12-Suburb-West,2024-01-20 17:30:14,185.5,Yes
COMP-00283,CUST-02835,2024-01-13 00:00:00,High-Bill,High,Closed,Zone-D-East,2024-01-14 06:30:13,30.5,No
COMP-00677,CUST-02629,2024-01-13 00:00:00,Connection-Request,Medium,Closed,Station-11-Suburb-East,2024-01-15 14:20:37,62.3,Yes
COMP-01050,CUST-02716,2024-01-13 00:00:00,Connection-Request,Low,Resolved,Station-09-Mall,2024-01-17 22:45:49,118.8,Yes
COMP-01062,CUST-00951,2024-01-13 00:00:00,Connection-Request,Low,Closed,Station-10-Port,2024-01-18 22:45:05,142.8,Pending
COMP-01177,CUST-04024,2024-01-13 00:00:00,Service-Interruption,Critical,Closed,Station-11-Suburb-East,2024-01-13 02:52:58,2.9,Pending
COMP-01393,CUST-01519,2024-01-13 00:00:00,Low-Pressure,Critical,Resolved,Station-02-Industrial,2024-01-13 08:13:03,8.2,Pending
COMP-01470,CUST-04397,2024-01-13 00:00:00,High-Bill,High,Closed,Zone-G-Coastal,2024-01-13 12:52:07,12.9,Yes
COMP-01610,CUST-03640,2024-01-13 00:00:00,Water-Quality,Critical,Closed,Zone-H-Hills,2024-01-13 08:22:53,8.4,Pending
COMP-01936,CUST-02210,2024-01-13 00:00:00,Billing-Error,Low,Closed,Station-11-Suburb-East,2024-01-17 20:06:12,116.1,Yes
COMP-00436,CUST-03609,2024-01-14 00:00:00,Billing-Error,Medium,Closed,Station-11-Suburb-East,2024-01-16 04:57:27,53.0,Pending
COMP-00516,CUST-03604,2024-01-14 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-16 03:38:35,51.6,Pending
COMP-00623,CUST-00440,2024-01-14 00:00:00,Leak-Reported,High,Closed,Station-03-Residential-North,2024-01-15 01:47:43,25.8,Yes
COMP-01157,CUST-00537,2024-01-14 00:00:00,High-Bill,Medium,Closed,Zone-G-Coastal,2024-01-17 03:34:34,75.6,No
COMP-01661,CUST-02989,2024-01-14 00:00:00,Low-Pressure,High,Closed,Station-05-Coastal,2024-01-14 09:52:32,9.9,Yes
COMP-01771,CUST-01121,2024-01-14 00:00:00,High-Bill,Medium,Closed,Station-01-Downtown,2024-01-18 13:43:24,109.7,Pending
COMP-01838,CUST-01465,2024-01-14 00:00:00,Billing-Error,Low,Closed,Zone-C-South,2024-01-17 02:50:37,74.8,No
COMP-01888,CUST-01889,2024-01-14 00:00:00,Service-Interruption,Critical,Closed,Station-10-Port,2024-01-14 02:22:44,2.4,Yes
COMP-00233,CUST-04896,2024-01-15 00:00:00,Water-Quality,Critical,Closed,Station-12-Suburb-West,2024-01-15 07:39:12,7.7,No
COMP-00468,CUST-04822,2024-01-15 00:00:00,Connection-Request,Low,Closed,Station-08-University,2024-01-18 03:12:23,75.2,Yes
COMP-00745,CUST-03822,2024-01-15 00:00:00,Leak-Reported,Critical,Closed,Station-11-Suburb-East,2024-01-15 07:00:58,7.0,Pending
COMP-00840,CUST-01078,2024-01-15 00:00:00,Low-Pressure,High,Closed,Zone-H-Hills,2024-01-15 15:13:43,15.2,No
COMP-01058,CUST-02887,2024-01-15 00:00:00,High-Bill,Medium,Closed,Zone-H-Hills,2024-01-17 00:32:23,48.5,No
COMP-01077,CUST-04490,2024-01-15 00:00:00,High-Bill,Low,Closed,Zone-B-North,2024-01-21 01:03:28,145.1,Pending
COMP-01245,CUST-01792,2024-01-15 00:00:00,Other,Medium,Closed,Zone-H-Hills,2024-01-19 17:10:58,113.2,Pending
COMP-01285,CUST-02493,2024-01-15 00:00:00,Leak-Reported,High,Closed,Station-03-Residential-North,2024-01-16 13:39:17,37.7,No
COMP-01484,CUST-02283,2024-01-15 00:00:00,Low-Pressure,Medium,Closed,Station-08-University,2024-01-16 05:28:03,29.5,Pending
COMP-01816,CUST-02334,2024-01-15 00:00:00,Water-Quality,High,Closed,Station-05-Coastal,2024-01-15 13:45:15,13.8,No
COMP-01889,CUST-00377,2024-01-15 00:00:00,Leak-Reported,High,Closed,Zone-C-South,2024-01-15 23:21:16,23.4,Pending
COMP-00780,CUST-04196,2024-01-16 00:00:00,Connection-Request,High,Closed,Station-07-Hospital,2024-01-16 23:51:14,23.9,Yes
COMP-00861,CUST-01485,2024-01-16 00:00:00,Service-Interruption,Low,Resolved,Station-04-Residential-South,2024-01-23 11:35:19,179.6,Yes
COMP-01302,CUST-02486,2024-01-16 00:00:00,Leak-Reported,Medium,Resolved,Station-05-Coastal,2024-01-17 04:56:31,28.9,Pending
COMP-01334,CUST-04038,2024-01-16 00:00:00,Billing-Error,High,Resolved,Zone-B-North,2024-01-16 14:15:25,14.3,Yes
COMP-01759,CUST-03235,2024-01-16 00:00:00,Billing-Error,Low,Closed,Station-03-Residential-North,2024-01-22 09:37:46,153.6,No
COMP-00135,CUST-04885,2024-01-17 00:00:00,Low-Pressure,Critical,Closed,Zone-H-Hills,2024-01-17 05:00:41,5.0,Yes
COMP-00958,CUST-03050,2024-01-17 00:00:00,Water-Quality,Critical,In-Progress,Zone-F-Industrial,,,
COMP-00966,CUST-03802,2024-01-17 00:00:00,High-Bill,High,Closed,Zone-C-South,2024-01-18 12:01:15,36.0,No
COMP-01204,CUST-03415,2024-01-17 00:00:00,Low-Pressure,High,Closed,Station-02-Industrial,2024-01-17 09:03:12,9.1,Pending
COMP-01439,CUST-04340,2024-01-17 00:00:00,Water-Quality,High,Closed,Station-11-Suburb-East,2024-01-18 09:14:37,33.2,No
COMP-01525,CUST-04101,2024-01-17 00:00:00,Meter-Issue,Medium,Closed,Station-02-Industrial,2024-01-18 03:21:25,27.4,Yes
COMP-01572,CUST-03817,2024-01-17 00:00:00,Customer-Service,Medium,Closed,Station-05-Coastal,2024-01-21 09:39:09,105.7,Yes
COMP-01629,CUST-00472,2024-01-17 00:00:00,High-Bill,High,Closed,Station-12-Suburb-West,2024-01-17 06:23:22,6.4,Pending
COMP-00069,CUST-00056,2024-01-18 00:00:00,Water-Quality,High,Closed,Station-07-Hospital,2024-01-18 18:04:10,18.1,No
COMP-00076,CUST-04048,2024-01-18 00:00:00,Low-Pressure,Low,Resolved,Zone-H-Hills,2024-01-23 15:33:34,135.6,No
COMP-00545,CUST-04030,2024-01-18 00:00:00,Connection-Request,Medium,Closed,Zone-F-Industrial,2024-01-20 23:50:03,71.8,Yes
COMP-00740,CUST-03335,2024-01-18 00:00:00,Water-Quality,Critical,Closed,Zone-G-Coastal,2024-01-18 01:54:04,1.9,No
COMP-00833,CUST-01205,2024-01-18 00:00:00,Service-Interruption,Medium,Closed,Station-11-Suburb-East,2024-01-22 01:25:43,97.4,Yes
COMP-01113,CUST-01679,2024-01-18 00:00:00,Meter-Issue,High,Resolved,Station-05-Coastal,2024-01-19 22:14:50,46.2,Yes
COMP-01256,CUST-00507,2024-01-18 00:00:00,Leak-Reported,Critical,Closed,Station-03-Residential-North,2024-01-18 09:11:54,9.2,Yes
COMP-01259,CUST-03793,2024-01-18 00:00:00,Leak-Reported,Medium,Closed,Zone-E-West,2024-01-21 11:10:40,83.2,Yes
COMP-01796,CUST-01869,2024-01-18 00:00:00,Other,Medium,Closed,Station-04-Residential-South,2024-01-20 23:55:46,71.9,No
COMP-00171,CUST-02168,2024-01-19 00:00:00,Low-Pressure,Medium,Closed,Station-02-Industrial,2024-01-20 21:02:20,45.0,No
COMP-00420,CUST-02520,2024-01-19 00:00:00,Billing-Error,Low,Closed,Station-08-University,2024-01-27 22:03:12,214.1,No
COMP-00603,CUST-02403,2024-01-19 00:00:00,Service-Interruption,Critical,Closed,Zone-F-Industrial,2024-01-19 09:57:33,10.0,Yes
COMP-00791,CUST-01362,2024-01-19 00:00:00,High-Bill,High,Closed,Station-10-Port,2024-01-19 13:06:04,13.1,No
COMP-01025,CUST-01289,2024-01-19 00:00:00,Service-Interruption,High,Closed,Zone-E-West,2024-01-19 19:46:07,19.8,No
COMP-01309,CUST-01325,2024-01-19 00:00:00,Water-Quality,Medium,Closed,Zone-F-Industrial,2024-01-23 09:29:51,105.5,Pending
COMP-01355,CUST-01675,2024-01-19 00:00:00,High-Bill,High,Closed,Zone-D-East,2024-01-20 23:04:45,47.1,Pending
COMP-00466,CUST-03438,2024-01-20 00:00:00,Low-Pressure,Medium,Closed,Station-05-Coastal,2024-01-21 10:16:31,34.3,Pending
COMP-00881,CUST-02638,2024-01-20 00:00:00,Water-Quality,Low,Closed,Station-12-Suburb-West,2024-01-29 13:33:54,229.6,No
COMP-00977,CUST-02180,2024-01-20 00:00:00,Leak-Reported,Medium,Resolved,Station-02-Industrial,2024-01-23 04:46:14,76.8,Pending
COMP-01160,CUST-00513,2024-01-20 00:00:00,Water-Quality,High,Closed,Station-04-Residential-South,2024-01-20 11:38:19,11.6,Pending
COMP-01164,CUST-04568,2024-01-20 00:00:00,High-Bill,Medium,Closed,Zone-D-East,2024-01-22 11:06:01,59.1,Pending
COMP-01171,CUST-04619,2024-01-20 00:00:00,Leak-Reported,High,Closed,Station-01-Downtown,2024-01-21 00:40:03,24.7,Yes
COMP-01197,CUST-02975,2024-01-20 00:00:00,Water-Quality,Medium,Closed,Station-12-Suburb-West,2024-01-22 04:14:13,52.2,Yes
COMP-01332,CUST-03481,2024-01-20 00:00:00,High-Bill,Low,Closed,Zone-A-Downtown,2024-01-22 06:56:36,54.9,No
COMP-01489,CUST-00769,2024-01-20 00:00:00,Connection-Request,High,Closed,Station-11-Suburb-East,2024-01-21 04:47:28,28.8,Yes
COMP-01693,CUST-01607,2024-01-20 00:00:00,Low-Pressure,High,Closed,Zone-H-Hills,2024-01-21 04:27:04,28.5,Yes
COMP-00003,CUST-02275,2024-01-21 00:00:00,Low-Pressure,Medium,Closed,Station-05-Coastal,2024-01-22 09:03:03,33.1,No
COMP-00020,CUST-03280,2024-01-21 00:00:00,High-Bill,High,Closed,Station-07-Hospital,2024-01-22 09:54:40,33.9,No
COMP-00022,CUST-02280,2024-01-21 00:00:00,Service-Interruption,Medium,Closed,Station-03-Residential-North,2024-01-25 05:30:29,101.5,No
COMP-00329,CUST-01653,2024-01-21 00:00:00,High-Bill,Medium,Closed,Station-10-Port,2024-01-23 15:36:19,63.6,No
COMP-00501,CUST-01488,2024-01-21 00:00:00,Connection-Request,Low,Closed,Station-06-Airport,2024-01-29 21:24:16,213.4,Yes
COMP-00902,CUST-01305,2024-01-21 00:00:00,Other,Medium,Closed,Station-02-Industrial,2024-01-22 23:43:11,47.7,No
COMP-00963,CUST-00379,2024-01-21 00:00:00,High-Bill,High,In-Progress,Zone-E-West,,,
COMP-00968,CUST-03096,2024-01-21 00:00:00,High-Bill,Critical,Open,Station-07-Hospital,,,
COMP-00992,CUST-03304,2024-01-21 00:00:00,High-Bill,High,Closed,Station-11-Suburb-East,2024-01-21 14:05:41,14.1,Pending
COMP-01381,CUST-01853,2024-01-21 00:00:00,Billing-Error,Medium,Closed,Zone-B-North,2024-01-24 00:18:30,72.3,Yes
COMP-01389,CUST-04930,2024-01-21 00:00:00,Water-Quality,High,Closed,Station-11-Suburb-East,2024-01-21 16:25:47,16.4,Yes
COMP-01411,CUST-00617,2024-01-21 00:00:00,Leak-Reported,High,Closed,Station-10-Port,2024-01-22 17:06:46,41.1,Pending
COMP-01465,CUST-00271,2024-01-21 00:00:00,Water-Quality,Medium,Resolved,Station-04-Residential-South,2024-01-25 08:09:51,104.2,No
COMP-01544,CUST-04195,2024-01-21 00:00:00,Low-Pressure,High,In-Progress,Station-10-Port,,,
COMP-01619,CUST-04551,2024-01-21 00:00:00,Leak-Reported,Low,Closed,Station-08-University,2024-01-25 10:48:24,106.8,Yes
