⚠️ File truncated for preview (showing first 0.5MB of 2.5MB)
────────────────────────────────────────────────────────────

customer_id,customer_type,billing_date,billing_period,consumption_gallons,bill_amount_usd,payment_status,rate_per_1000_gal
CUST-00006,Residential,2024-07-09,2024-07,16813.0,57.03,Paid,2.5
CUST-00006,Residential,2024-08-02,2024-08,13645.0,49.11,Paid,2.5
CUST-00007,Residential,2024-01-03,2024-01,4702.0,26.76,Paid,2.5
CUST-00007,Residential,2024-02-10,2024-02,5518.0,28.8,Paid,2.5
CUST-00007,Residential,2024-03-26,2024-03,5181.0,27.95,Paid,2.5
CUST-00007,Residential,2024-04-23,2024-04,5220.0,28.05,Paid,2.5
CUST-00007,Residential,2024-05-02,2024-05,6363.0,30.91,Paid,2.5
CUST-00007,Residential,2024-06-06,2024-06,9236.0,38.09,Paid,2.5
CUST-00007,Residential,2024-07-06,2024-07,7686.0,34.22,Paid,2.5
CUST-00007,Residential,2024-08-03,2024-08,8394.0,35.99,Paid,2.5
CUST-00008,Industrial,2024-01-14,2024-01,46873.0,146.24,Paid,2.8
CUST-00008,Industrial,2024-02-10,2024-02,122310.0,357.47,Paid,2.8
CUST-00008,Industrial,2024-03-25,2024-03,117917.0,345.17,Paid,2.8
CUST-00008,Industrial,2024-04-01,2024-04,96262.0,284.53,Paid,2.8
CUST-00008,Industrial,2024-05-04,2024-05,96262.0,284.53,Paid,2.8
CUST-00008,Industrial,2024-06-08,2024-06,138208.0,401.98,Paid,2.8
CUST-00008,Industrial,2024-07-17,2024-07,182540.0,526.11,Paid,2.8
CUST-00008,Industrial,2024-08-23,2024-08,130569.0,380.59,Paid,2.8
CUST-00009,Residential,2024-01-06,2024-01,12116.0,45.29,Paid,2.5
CUST-00009,Residential,2024-02-04,2024-02,12787.0,46.97,Paid,2.5
CUST-00009,Residential,2024-03-22,2024-03,13042.0,47.61,Paid,2.5
CUST-00009,Residential,2024-04-15,2024-04,12292.0,45.73,Paid,2.5
CUST-00009,Residential,2024-05-01,2024-05,8991.0,37.48,Paid,2.5
CUST-00009,Residential,2024-06-23,2024-06,16854.0,57.14,Paid,2.5
CUST-00009,Residential,2024-07-12,2024-07,16513.0,56.28,Paid,2.5
CUST-00009,Residential,2024-08-24,2024-08,15133.0,52.83,Paid,2.5
CUST-00010,Residential,2024-01-15,2024-01,12085.0,45.21,Paid,2.5
CUST-00010,Residential,2024-02-07,2024-02,11090.0,42.72,Paid,2.5
CUST-00010,Residential,2024-03-23,2024-03,9015.0,37.54,Paid,2.5
CUST-00010,Residential,2024-04-15,2024-04,8650.0,36.63,Paid,2.5
CUST-00010,Residential,2024-05-02,2024-05,10782.0,41.96,Pending,2.5
CUST-00010,Residential,2024-06-20,2024-06,13201.0,48.0,Paid,2.5
CUST-00010,Residential,2024-07-22,2024-07,15550.0,53.88,Paid,2.5
CUST-00010,Residential,2024-08-05,2024-08,15026.0,52.57,Paid,2.5
CUST-00011,Residential,2024-01-28,2024-01,9791.0,39.48,Paid,2.5
CUST-00011,Residential,2024-02-27,2024-02,9178.0,37.94,Paid,2.5
CUST-00011,Residential,2024-03-24,2024-03,8555.0,36.39,Paid,2.5
CUST-00011,Residential,2024-04-07,2024-04,6819.0,32.05,Paid,2.5
CUST-00011,Residential,2024-05-03,2024-05,7597.0,33.99,Paid,2.5
CUST-00011,Residential,2024-06-02,2024-06,14395.0,50.99,Paid,2.5
CUST-00011,Residential,2024-07-15,2024-07,12791.0,46.98,Paid,2.5
CUST-00011,Residential,2024-08-01,2024-08,13677.0,49.19,Paid,2.5
CUST-00012,Commercial,2024-01-13,2024-01,20356.0,76.07,Paid,3.0
CUST-00012,Commercial,2024-02-10,2024-02,28059.0,99.18,Paid,3.0
CUST-00012,Commercial,2024-03-16,2024-03,24872.0,89.62,Paid,3.0
CUST-00012,Commercial,2024-04-02,2024-04,27880.0,98.64,Paid,3.0
CUST-00012,Commercial,2024-05-08,2024-05,28443.0,100.33,Overdue,3.0
CUST-00012,Commercial,2024-06-08,2024-06,41280.0,138.84,Paid,3.0
CUST-00012,Commercial,2024-07-14,2024-07,34052.0,117.15,Paid,3.0
CUST-00012,Commercial,2024-08-19,2024-08,44430.0,148.29,Overdue,3.0
CUST-00013,Government,2024-01-01,2024-01,75565.0,181.24,Paid,2.2
CUST-00013,Government,2024-02-22,2024-02,68757.0,166.26,Paid,2.2
CUST-00013,Government,2024-03-11,2024-03,76079.0,182.37,Paid,2.2
CUST-00013,Government,2024-04-04,2024-04,88910.0,210.6,Paid,2.2
CUST-00013,Government,2024-05-01,2024-05,83114.0,197.85,Pending,2.2
CUST-00013,Government,2024-06-03,2024-06,119968.0,278.93,Paid,2.2
CUST-00013,Government,2024-07-25,2024-07,122132.0,283.69,Pending,2.2
CUST-00013,Government,2024-08-09,2024-08,31279.0,83.81,Paid,2.2
CUST-00014,Residential,2024-01-11,2024-01,6351.0,30.88,Paid,2.5
CUST-00014,Residential,2024-02-08,2024-02,8164.0,35.41,Paid,2.5
CUST-00014,Residential,2024-03-23,2024-03,6984.0,32.46,Paid,2.5
CUST-00014,Residential,2024-04-12,2024-04,7358.0,33.39,Paid,2.5
CUST-00014,Residential,2024-05-10,2024-05,7840.0,34.6,Paid,2.5
CUST-00014,Residential,2024-06-24,2024-06,11773.0,44.43,Paid,2.5
CUST-00014,Residential,2024-07-12,2024-07,9020.0,37.55,Paid,2.5
CUST-00014,Residential,2024-08-02,2024-08,4460.0,26.15,Paid,2.5
CUST-00015,Residential,2024-01-11,2024-01,1468.0,18.67,Paid,2.5
CUST-00015,Residential,2024-02-07,2024-02,6727.0,31.82,Paid,2.5
CUST-00015,Residential,2024-03-20,2024-03,5021.0,27.55,Paid,2.5
CUST-00015,Residential,2024-04-24,2024-04,4910.0,27.27,Paid,2.5
CUST-00015,Residential,2024-05-23,2024-05,6452.0,31.13,Paid,2.5
CUST-00015,Residential,2024-06-04,2024-06,8443.0,36.11,Paid,2.5
CUST-00015,Residential,2024-07-02,2024-07,9289.0,38.22,Paid,2.5
CUST-00015,Residential,2024-08-27,2024-08,9134.0,37.84,Overdue,2.5
CUST-00016,Residential,2024-01-06,2024-01,9042.0,37.61,Paid,2.5
CUST-00016,Residential,2024-02-22,2024-02,7543.0,33.86,Paid,2.5
CUST-00016,Residential,2024-03-01,2024-03,9722.0,39.3,Paid,2.5
CUST-00016,Residential,2024-04-06,2024-04,9975.0,39.94,Pending,2.5
CUST-00016,Residential,2024-05-23,2024-05,7080.0,32.7,Paid,2.5
CUST-00016,Residential,2024-06-21,2024-06,12932.0,47.33,Paid,2.5
CUST-00016,Residential,2024-07-10,2024-07,11189.0,42.97,Paid,2.5
CUST-00016,Residential,2024-08-01,2024-08,14643.0,51.61,Paid,2.5
CUST-00017,Commercial,2024-01-12,2024-01,47738.0,158.21,Paid,3.0
CUST-00017,Commercial,2024-02-08,2024-02,36799.0,125.4,Paid,3.0
CUST-00017,Commercial,2024-03-17,2024-03,39333.0,133.0,Paid,3.0
CUST-00017,Commercial,2024-04-10,2024-04,43818.0,146.46,Paid,3.0
CUST-00017,Commercial,2024-05-22,2024-05,35878.0,122.63,Paid,3.0
CUST-00017,Commercial,2024-06-08,2024-06,63836.0,206.51,Paid,3.0
CUST-00017,Commercial,2024-07-08,2024-07,47215.0,156.65,Paid,3.0
CUST-00017,Commercial,2024-08-11,2024-08,71853.0,230.56,Paid,3.0
CUST-00018,Industrial,2024-01-25,2024-01,171788.0,496.01,Paid,2.8
CUST-00018,Industrial,2024-02-22,2024-02,223200.0,639.96,Paid,2.8
CUST-00018,Industrial,2024-03-03,2024-03,54425.0,167.39,Paid,2.8
CUST-00018,Industrial,2024-04-23,2024-04,252033.0,720.69,Paid,2.8
CUST-00018,Industrial,2024-05-12,2024-05,214440.0,615.43,Paid,2.8
CUST-00018,Industrial,2024-06-16,2024-06,356400.0,1012.92,Paid,2.8
CUST-00018,Industrial,2024-07-28,2024-07,264682.0,756.11,Paid,2.8
CUST-00018,Industrial,2024-08-10,2024-08,336787.0,958.0,Paid,2.8
CUST-00019,Residential,2024-01-07,2024-01,6385.0,30.96,Paid,2.5
CUST-00019,Residential,2024-02-17,2024-02,4913.0,27.28,Pending,2.5
CUST-00019,Residential,2024-03-21,2024-03,6922.0,32.31,Paid,2.5
CUST-00019,Residential,2024-04-09,2024-04,7219.0,33.05,Paid,2.5
CUST-00019,Residential,2024-05-13,2024-05,6549.0,31.37,Paid,2.5
CUST-00019,Residential,2024-06-07,2024-06,7515.0,33.79,Paid,2.5
CUST-00019,Residential,2024-07-19,2024-07,10091.0,40.23,Paid,2.5
CUST-00019,Residential,2024-08-23,2024-08,8137.0,35.34,Paid,2.5
CUST-00020,Residential,2024-01-22,2024-01,4187.0,25.47,Pending,2.5
CUST-00020,Residential,2024-02-15,2024-02,4462.0,26.15,Paid,2.5
CUST-00020,Residential,2024-03-19,2024-03,3817.0,24.54,Paid,2.5
CUST-00020,Residential,2024-04-11,2024-04,3853.0,24.63,Paid,2.5
CUST-00020,Residential,2024-05-05,2024-05,4636.0,26.59,Paid,2.5
CUST-00020,Residential,2024-06-21,2024-06,6953.0,32.38,Paid,2.5
CUST-00020,Residential,2024-07-01,2024-07,6643.0,31.61,Paid,2.5
CUST-00020,Residential,2024-08-19,2024-08,2351.0,20.88,Paid,2.5
CUST-00021,Residential,2024-01-25,2024-01,8229.0,35.57,Paid,2.5
CUST-00021,Residential,2024-02-24,2024-02,7619.0,34.05,Pending,2.5
CUST-00021,Residential,2024-03-05,2024-03,27602.0,84.0,Paid,2.5
CUST-00021,Residential,2024-04-17,2024-04,8457.0,36.14,Overdue,2.5
CUST-00021,Residential,2024-05-05,2024-05,8386.0,35.96,Paid,2.5
CUST-00021,Residential,2024-06-21,2024-06,11484.0,43.71,Paid,2.5
CUST-00021,Residential,2024-07-11,2024-07,8439.0,36.1,Paid,2.5
CUST-00021,Residential,2024-08-06,2024-08,9176.0,37.94,Paid,2.5
CUST-00022,Residential,2024-01-10,2024-01,8779.0,36.95,Paid,2.5
CUST-00022,Residential,2024-02-04,2024-02,8803.0,37.01,Paid,2.5
CUST-00022,Residential,2024-03-12,2024-03,11976.0,44.94,Pending,2.5
CUST-00022,Residential,2024-04-06,2024-04,2633.0,21.58,Paid,2.5
CUST-00022,Residential,2024-05-04,2024-05,9244.0,38.11,Paid,2.5
CUST-00022,Residential,2024-06-13,2024-06,16733.0,56.83,Paid,2.5
CUST-00022,Residential,2024-07-08,2024-07,15703.0,54.26,Paid,2.5
CUST-00022,Residential,2024-08-18,2024-08,11643.0,44.11,Paid,2.5
CUST-00023,Residential,2024-01-15,2024-01,4660.0,26.65,Paid,2.5
CUST-00023,Residential,2024-02-26,2024-02,4707.0,26.77,Paid,2.5
CUST-00023,Residential,2024-03-10,2024-03,3840.0,24.6,Paid,2.5
CUST-00023,Residential,2024-04-11,2024-04,4008.0,25.02,Paid,2.5
CUST-00023,Residential,2024-05-08,2024-05,3885.0,24.71,Paid,2.5
CUST-00023,Residential,2024-06-15,2024-06,6486.0,31.21,Paid,2.5
CUST-00023,Residential,2024-07-10,2024-07,5115.0,27.79,Paid,2.5
CUST-00023,Residential,2024-08-10,2024-08,6698.0,31.75,Overdue,2.5
CUST-00024,Residential,2024-01-20,2024-01,10996.0,42.49,Paid,2.5
CUST-00024,Residential,2024-02-24,2024-02,3015.0,22.54,Paid,2.5
CUST-00024,Residential,2024-03-04,2024-03,3883.0,24.71,Overdue,2.5
CUST-00024,Residential,2024-04-13,2024-04,3216.0,23.04,Paid,2.5
CUST-00024,Residential,2024-05-08,2024-05,3809.0,24.52,Paid,2.5
CUST-00024,Residential,2024-06-18,2024-06,4877.0,27.19,Paid,2.5
CUST-00024,Residential,2024-07-28,2024-07,5570.0,28.93,Paid,2.5
CUST-00024,Residential,2024-08-26,2024-08,5375.0,28.44,Paid,2.5
CUST-00025,Residential,2024-01-18,2024-01,4870.0,27.17,Paid,2.5
CUST-00025,Residential,2024-02-23,2024-02,4708.0,26.77,Paid,2.5
CUST-00025,Residential,2024-03-22,2024-03,5683.0,29.21,Paid,2.5
CUST-00025,Residential,2024-04-04,2024-04,5699.0,29.25,Paid,2.5
CUST-00025,Residential,2024-05-28,2024-05,5324.0,28.31,Paid,2.5
CUST-00025,Residential,2024-06-07,2024-06,7309.0,33.27,Overdue,2.5
CUST-00025,Residential,2024-07-08,2024-07,9039.0,37.6,Paid,2.5
CUST-00025,Residential,2024-08-10,2024-08,8249.0,35.62,Pending,2.5
CUST-00026,Residential,2024-01-12,2024-01,3648.0,24.12,Paid,2.5
CUST-00026,Residential,2024-02-13,2024-02,1825.0,19.56,Paid,2.5
CUST-00026,Residential,2024-03-18,2024-03,3817.0,24.54,Paid,2.5
CUST-00026,Residential,2024-04-08,2024-04,4514.0,26.29,Paid,2.5
CUST-00026,Residential,2024-05-14,2024-05,1708.0,19.27,Paid,2.5
CUST-00026,Residential,2024-06-13,2024-06,6384.0,30.96,Paid,2.5
CUST-00026,Residential,2024-07-16,2024-07,2180.0,20.45,Paid,2.5
CUST-00026,Residential,2024-08-12,2024-08,5650.0,29.12,Paid,2.5
CUST-00027,Commercial,2024-01-21,2024-01,48501.0,160.5,Paid,3.0
CUST-00027,Commercial,2024-02-15,2024-02,39034.0,132.1,Paid,3.0
CUST-00027,Commercial,2024-03-07,2024-03,53840.0,176.52,Paid,3.0
CUST-00027,Commercial,2024-04-20,2024-04,53234.0,174.7,Paid,3.0
CUST-00027,Commercial,2024-05-07,2024-05,51586.0,169.76,Paid,3.0
CUST-00027,Commercial,2024-06-01,2024-06,76113.0,243.34,Paid,3.0
CUST-00027,Commercial,2024-07-25,2024-07,72404.0,232.21,Paid,3.0
CUST-00027,Commercial,2024-08-12,2024-08,65982.0,212.95,Paid,3.0
CUST-00028,Government,2024-01-20,2024-01,49539.0,123.99,Paid,2.2
CUST-00028,Government,2024-02-15,2024-02,47535.0,119.58,Paid,2.2
CUST-00028,Government,2024-03-21,2024-03,49432.0,123.75,Paid,2.2
CUST-00028,Government,2024-04-18,2024-04,48603.0,121.93,Paid,2.2
CUST-00028,Government,2024-05-10,2024-05,50656.0,126.44,Pending,2.2
CUST-00028,Government,2024-06-27,2024-06,55240.0,136.53,Paid,2.2
CUST-00028,Government,2024-07-08,2024-07,80488.0,192.07,Paid,2.2
CUST-00028,Government,2024-08-23,2024-08,56843.0,140.06,Paid,2.2
CUST-00029,Residential,2024-01-08,2024-01,5882.0,29.71,Paid,2.5
CUST-00029,Residential,2024-02-23,2024-02,6070.0,30.18,Paid,2.5
CUST-00029,Residential,2024-03-19,2024-03,5585.0,28.96,Paid,2.5
CUST-00029,Residential,2024-04-28,2024-04,29968.0,89.92,Pending,2.5
CUST-00029,Residential,2024-05-22,2024-05,5957.0,29.89,Paid,2.5
CUST-00029,Residential,2024-06-06,2024-06,7803.0,34.51,Paid,2.5
CUST-00029,Residential,2024-07-22,2024-07,3779.0,24.45,Paid,2.5
CUST-00029,Residential,2024-08-25,2024-08,7797.0,34.49,Paid,2.5
CUST-00030,Commercial,2024-01-24,2024-01,16269.0,63.81,Pending,3.0
CUST-00030,Commercial,2024-02-27,2024-02,17690.0,68.07,Paid,3.0
CUST-00030,Commercial,2024-03-22,2024-03,16095.0,63.29,Paid,3.0
CUST-00030,Commercial,2024-04-18,2024-04,17081.0,66.24,Paid,3.0
CUST-00030,Commercial,2024-05-12,2024-05,18129.0,69.39,Paid,3.0
CUST-00030,Commercial,2024-06-05,2024-06,28052.0,99.16,Paid,3.0
CUST-00030,Commercial,2024-07-06,2024-07,22345.0,82.03,Paid,3.0
CUST-00030,Commercial,2024-08-19,2024-08,27087.0,96.26,Paid,3.0
CUST-00031,Residential,2024-01-15,2024-01,7218.0,33.04,Paid,2.5
CUST-00031,Residential,2024-02-28,2024-02,8522.0,36.31,Paid,2.5
CUST-00031,Residential,2024-03-26,2024-03,8287.0,35.72,Paid,2.5
CUST-00031,Residential,2024-04-21,2024-04,8246.0,35.62,Paid,2.5
CUST-00031,Residential,2024-05-03,2024-05,7631.0,34.08,Paid,2.5
CUST-00031,Residential,2024-06-14,2024-06,11747.0,44.37,Pending,2.5
CUST-00031,Residential,2024-07-04,2024-07,9099.0,37.75,Paid,2.5
CUST-00031,Residential,2024-08-08,2024-08,9379.0,38.45,Paid,2.5
CUST-00032,Residential,2024-01-02,2024-01,3116.0,22.79,Paid,2.5
CUST-00032,Residential,2024-02-01,2024-02,760.0,16.9,Pending,2.5
CUST-00032,Residential,2024-03-27,2024-03,3263.0,23.16,Paid,2.5
CUST-00032,Residential,2024-04-04,2024-04,4000.0,25.0,Paid,2.5
CUST-00032,Residential,2024-05-15,2024-05,11248.0,43.12,Paid,2.5
CUST-00032,Residential,2024-06-28,2024-06,6111.0,30.28,Paid,2.5
CUST-00032,Residential,2024-07-27,2024-07,5320.0,28.3,Paid,2.5
CUST-00032,Residential,2024-08-13,2024-08,4773.0,26.93,Paid,2.5
CUST-00033,Commercial,2024-01-20,2024-01,29145.0,102.43,Paid,3.0
CUST-00033,Commercial,2024-02-18,2024-02,22745.0,83.24,Paid,3.0
CUST-00033,Commercial,2024-03-08,2024-03,13065.0,54.19,Paid,3.0
CUST-00033,Commercial,2024-04-28,2024-04,29976.0,104.93,Pending,3.0
CUST-00033,Commercial,2024-05-01,2024-05,31779.0,110.34,Paid,3.0
CUST-00033,Commercial,2024-06-10,2024-06,36415.0,124.24,Paid,3.0
CUST-00033,Commercial,2024-07-04,2024-07,38307.0,129.92,Paid,3.0
CUST-00033,Commercial,2024-08-06,2024-08,43926.0,146.78,Paid,3.0
CUST-00034,Industrial,2024-01-19,2024-01,450590.0,1276.65,Paid,2.8
CUST-00034,Industrial,2024-02-21,2024-02,366338.0,1040.75,Paid,2.8
CUST-00034,Industrial,2024-03-17,2024-03,454994.0,1288.98,Pending,2.8
CUST-00034,Industrial,2024-04-20,2024-04,528856.0,1495.8,Paid,2.8
CUST-00034,Industrial,2024-05-26,2024-05,374639.0,1063.99,Paid,2.8
CUST-00034,Industrial,2024-06-21,2024-06,721909.0,2036.35,Paid,2.8
CUST-00034,Industrial,2024-07-20,2024-07,609201.0,1720.76,Paid,2.8
CUST-00034,Industrial,2024-08-11,2024-08,730327.0,2059.91,Paid,2.8
CUST-00035,Commercial,2024-01-10,2024-01,7552.0,37.66,Paid,3.0
CUST-00035,Commercial,2024-02-02,2024-02,25567.0,91.7,Overdue,3.0
CUST-00035,Commercial,2024-03-05,2024-03,35832.0,122.5,Paid,3.0
CUST-00035,Commercial,2024-04-22,2024-04,9872.0,44.62,Paid,3.0
CUST-00035,Commercial,2024-05-19,2024-05,35396.0,121.19,Overdue,3.0
CUST-00035,Commercial,2024-06-13,2024-06,47154.0,156.46,Paid,3.0
CUST-00035,Commercial,2024-07-27,2024-07,50073.0,165.22,Pending,3.0
CUST-00035,Commercial,2024-08-12,2024-08,47974.0,158.92,Pending,3.0
CUST-00036,Commercial,2024-01-05,2024-01,56706.0,185.12,Paid,3.0
CUST-00036,Commercial,2024-02-09,2024-02,50113.0,165.34,Paid,3.0
CUST-00036,Commercial,2024-03-21,2024-03,49977.0,164.93,Paid,3.0
CUST-00036,Commercial,2024-04-21,2024-04,46963.0,155.89,Paid,3.0
CUST-00036,Commercial,2024-05-16,2024-05,47832.0,158.49,Paid,3.0
CUST-00036,Commercial,2024-06-17,2024-06,67183.0,216.55,Paid,3.0
CUST-00036,Commercial,2024-07-12,2024-07,80185.0,255.56,Paid,3.0
CUST-00036,Commercial,2024-08-09,2024-08,80148.0,255.44,Pending,3.0
CUST-00037,Government,2024-01-20,2024-01,32560.0,86.63,Paid,2.2
CUST-00037,Government,2024-02-12,2024-02,34609.0,91.14,Paid,2.2
CUST-00037,Government,2024-03-23,2024-03,39678.0,102.29,Overdue,2.2
CUST-00037,Government,2024-04-13,2024-04,38224.0,99.09,Paid,2.2
CUST-00037,Government,2024-05-10,2024-05,29701.0,80.34,Paid,2.2
CUST-00037,Government,2024-06-16,2024-06,44009.0,111.82,Paid,2.2
CUST-00037,Government,2024-07-25,2024-07,36876.0,96.13,Paid,2.2
CUST-00037,Government,2024-08-13,2024-08,43715.0,111.17,Paid,2.2
CUST-00038,Residential,2024-01-19,2024-01,5448.0,28.62,Pending,2.5
CUST-00038,Residential,2024-02-23,2024-02,5179.0,27.95,Paid,2.5
CUST-00038,Residential,2024-03-05,2024-03,6181.0,30.45,Paid,2.5
CUST-00038,Residential,2024-04-07,2024-04,28071.0,85.18,Paid,2.5
CUST-00038,Residential,2024-05-08,2024-05,6298.0,30.75,Paid,2.5
CUST-00038,Residential,2024-06-26,2024-06,8129.0,35.32,Paid,2.5
CUST-00038,Residential,2024-07-10,2024-07,7379.0,33.45,Paid,2.5
CUST-00038,Residential,2024-08-17,2024-08,8216.0,35.54,Pending,2.5
CUST-00039,Residential,2024-01-22,2024-01,9267.0,38.17,Paid,2.5
CUST-00039,Residential,2024-02-09,2024-02,8953.0,37.38,Paid,2.5
CUST-00039,Residential,2024-03-03,2024-03,6512.0,31.28,Paid,2.5
CUST-00039,Residential,2024-04-23,2024-04,8347.0,35.87,Paid,2.5
CUST-00039,Residential,2024-05-20,2024-05,7004.0,32.51,Paid,2.5
CUST-00039,Residential,2024-06-05,2024-06,13716.0,49.29,Pending,2.5
CUST-00039,Residential,2024-07-25,2024-07,9770.0,39.42,Paid,2.5
CUST-00039,Residential,2024-08-15,2024-08,10784.0,41.96,Paid,2.5
CUST-00040,Residential,2024-01-11,2024-01,6878.0,32.2,Paid,2.5
CUST-00040,Residential,2024-02-24,2024-02,6431.0,31.08,Paid,2.5
CUST-00040,Residential,2024-03-28,2024-03,8568.0,36.42,Paid,2.5
CUST-00040,Residential,2024-04-07,2024-04,9094.0,37.74,Paid,2.5
CUST-00040,Residential,2024-05-25,2024-05,7272.0,33.18,Paid,2.5
CUST-00040,Residential,2024-06-04,2024-06,11384.0,43.46,Paid,2.5
CUST-00040,Residential,2024-07-28,2024-07,10122.0,40.3,Paid,2.5
CUST-00040,Residential,2024-08-28,2024-08,13051.0,47.63,Paid,2.5
CUST-00041,Residential,2024-01-28,2024-01,11629.0,44.07,Paid,2.5
CUST-00041,Residential,2024-02-01,2024-02,11496.0,43.74,Paid,2.5
CUST-00041,Residential,2024-03-04,2024-03,11413.0,43.53,Overdue,2.5
CUST-00041,Residential,2024-04-20,2024-04,11732.0,44.33,Paid,2.5
CUST-00041,Residential,2024-05-14,2024-05,9633.0,39.08,Paid,2.5
CUST-00041,Residential,2024-06-06,2024-06,18330.0,60.83,Paid,2.5
CUST-00041,Residential,2024-07-06,2024-07,14678.0,51.7,Paid,2.5
CUST-00041,Residential,2024-08-01,2024-08,14732.0,51.83,Pending,2.5
CUST-00042,Residential,2024-01-18,2024-01,5252.0,28.13,Paid,2.5
CUST-00042,Residential,2024-02-12,2024-02,1863.0,19.66,Pending,2.5
CUST-00042,Residential,2024-03-15,2024-03,5362.0,28.41,Paid,2.5
CUST-00042,Residential,2024-04-16,2024-04,5724.0,29.31,Pending,2.5
CUST-00042,Residential,2024-05-26,2024-05,6388.0,30.97,Paid,2.5
CUST-00042,Residential,2024-06-14,2024-06,8849.0,37.12,Paid,2.5
CUST-00042,Residential,2024-07-26,2024-07,9176.0,37.94,Overdue,2.5
CUST-00042,Residential,2024-08-28,2024-08,8192.0,35.48,Paid,2.5
CUST-00043,Commercial,2024-01-21,2024-01,37136.0,126.41,Paid,3.0
CUST-00043,Commercial,2024-02-28,2024-02,38462.0,130.39,Paid,3.0
CUST-00043,Commercial,2024-03-07,2024-03,38090.0,129.27,Pending,3.0
CUST-00043,Commercial,2024-04-12,2024-04,30274.0,105.82,Pending,3.0
CUST-00043,Commercial,2024-05-18,2024-05,39863.0,134.59,Paid,3.0
CUST-00043,Commercial,2024-06-11,2024-06,43303.0,144.91,Paid,3.0
