⚠️ File truncated for preview (showing first 0.5MB of 0.8MB)
────────────────────────────────────────────────────────────

asset_id,asset_type,install_date,age_years,maintenance_date,maintenance_type,failure_mode,downtime_hours,cost_usd,parts_replaced,priority,completed
Chlorinator-0505,Chlorinator,2014-02-19,0.4,2014-07-09,Preventive,,1.6,1323.94,No,Normal,Yes
Pipe-Section-0442,Pipe-Section,2014-02-17,0.4,2014-07-11,Preventive,,1.0,1039.18,No,Normal,Yes
Pump-0022,Pump,2014-03-17,0.3,2014-07-12,Corrective,Wear,1.1,7279.54,No,High,Yes
Valve-0184,Valve,2014-05-18,0.2,2014-07-16,Corrective,Corrosion,9.7,3330.28,Yes,High,Yes
Filter-0678,Filter,2014-01-30,0.5,2014-07-16,Emergency,Corrosion,13.7,23674.72,Yes,Critical,Yes
Chlorinator-0530,Chlorinator,2014-01-25,0.5,2014-07-18,Calibration,,0.8,344.33,No,Normal,Yes
Chlorinator-0569,Chlorinator,2014-02-28,0.4,2014-07-24,Preventive,,1.7,727.14,No,Normal,Yes
Motor-0346,Motor,2014-03-01,0.4,2014-07-27,Preventive,,1.7,608.25,No,Normal,Yes
Chlorinator-0554,Chlorinator,2014-05-02,0.2,2014-07-31,Corrective,Wear,2.3,7513.18,Yes,High,Yes
Meter-0880,Meter,2014-02-08,0.5,2014-08-01,Preventive,,3.1,1192.33,No,Normal,Yes
Sensor-0717,Sensor,2014-05-10,0.2,2014-08-03,Corrective,Blockage,9.9,2763.7,No,High,Yes
Pump-0068,Pump,2014-01-15,0.6,2014-08-05,Preventive,,1.7,787.83,No,Normal,Yes
Filter-0622,Filter,2014-04-13,0.3,2014-08-08,Preventive,,0.6,1074.73,No,Normal,Yes
Pipe-Section-0463,Pipe-Section,2014-03-06,0.4,2014-08-11,Inspection,,1.8,221.05,No,Normal,Yes
Meter-0855,Meter,2014-01-28,0.6,2014-08-19,Corrective,Blockage,7.9,4132.48,Yes,High,Yes
Pump-0085,Pump,2014-06-18,0.2,2014-08-23,Emergency,Software-Error,42.3,15942.62,No,Critical,Yes
Motor-0247,Motor,2014-03-01,0.5,2014-08-25,Preventive,,4.0,893.7,No,Normal,Yes
Valve-0219,Valve,2014-03-31,0.4,2014-08-28,Preventive,,0.9,733.37,No,Normal,Yes
Chlorinator-0505,Chlorinator,2014-02-19,0.5,2014-08-28,Emergency,Software-Error,13.7,12783.15,No,Critical,Yes
Sensor-0703,Sensor,2014-06-01,0.2,2014-08-28,Preventive,,1.0,388.53,No,Normal,Yes
Valve-0165,Valve,2014-04-14,0.4,2014-08-31,Corrective,Blockage,9.7,2913.56,Yes,High,Yes
Pump-0101,Pump,2014-05-18,0.3,2014-09-01,Preventive,,0.9,418.3,No,Normal,Yes
Filter-0626,Filter,2014-07-17,0.1,2014-09-02,Corrective,Wear,10.7,5770.51,No,High,Yes
Pipe-Section-0472,Pipe-Section,2014-05-22,0.3,2014-09-03,Preventive,,1.0,1239.71,No,Normal,Yes
Sensor-0704,Sensor,2014-04-20,0.4,2014-09-03,Corrective,Seal-Leak,7.2,3718.87,No,High,Yes
Motor-0316,Motor,2014-04-07,0.4,2014-09-04,Preventive,,1.0,926.28,No,Normal,Yes
Chlorinator-0537,Chlorinator,2014-03-31,0.4,2014-09-04,Preventive,,2.3,232.43,No,Normal,Yes
Chlorinator-0569,Chlorinator,2014-02-28,0.5,2014-09-04,Emergency,Seal-Leak,31.6,16894.48,No,Critical,Yes
Sensor-0762,Sensor,2014-05-21,0.3,2014-09-05,Corrective,Seal-Leak,6.8,4389.79,No,High,Yes
Pipe-Section-0406,Pipe-Section,2014-01-11,0.7,2014-09-06,Preventive,,1.8,1259.86,No,Normal,Yes
Chlorinator-0552,Chlorinator,2014-02-22,0.5,2014-09-06,Preventive,,2.3,1036.92,No,Normal,Yes
Pump-0007,Pump,2014-07-11,0.2,2014-09-09,Preventive,,1.0,587.19,No,Normal,Yes
Meter-0863,Meter,2014-03-18,0.5,2014-09-09,Preventive,,1.7,1156.35,No,Normal,Yes
Filter-0642,Filter,2014-05-26,0.3,2014-09-11,Preventive,,2.3,1495.63,No,Normal,Yes
Valve-0204,Valve,2014-02-07,0.6,2014-09-14,Preventive,,1.2,516.9,No,Normal,Yes
Sensor-0688,Sensor,2014-07-17,0.2,2014-09-17,Preventive,,3.4,802.02,No,Normal,Yes
Sensor-0694,Sensor,2014-05-14,0.3,2014-09-17,Corrective,Software-Error,4.2,3259.66,Yes,High,Yes
Pipe-Section-0374,Pipe-Section,2014-06-17,0.3,2014-09-20,Preventive,,1.0,877.87,No,Normal,Yes
Meter-0855,Meter,2014-01-28,0.6,2014-09-22,Emergency,Bearing-Failure,37.8,8035.19,No,Critical,Yes
Pipe-Section-0442,Pipe-Section,2014-02-17,0.6,2014-09-25,Corrective,Software-Error,9.1,2897.92,Yes,High,Yes
Pump-0023,Pump,2014-06-13,0.3,2014-09-26,Preventive,,0.8,488.27,No,Normal,Yes
Pump-0038,Pump,2014-02-28,0.6,2014-09-26,Preventive,,1.0,584.84,No,Normal,Yes
Pipe-Section-0435,Pipe-Section,2014-02-07,0.6,2014-09-26,Preventive,,3.1,410.49,No,Normal,Yes
Pipe-Section-0461,Pipe-Section,2014-04-10,0.5,2014-09-26,Emergency,Blockage,38.9,20661.03,Yes,Critical,Yes
Chlorinator-0555,Chlorinator,2014-07-10,0.2,2014-09-29,Preventive,,1.8,792.41,No,Normal,Yes
Valve-0190,Valve,2014-04-28,0.4,2014-09-30,Inspection,,1.3,441.14,No,Normal,Yes
Sensor-0717,Sensor,2014-05-10,0.4,2014-09-30,Emergency,Blockage,38.8,20281.21,Yes,Critical,Yes
Pipe-Section-0370,Pipe-Section,2014-06-04,0.3,2014-10-02,Corrective,Software-Error,9.0,2237.51,No,High,Yes
Filter-0678,Filter,2014-01-30,0.7,2014-10-08,Preventive,,3.5,645.97,No,Normal,Yes
Meter-0908,Meter,2014-05-23,0.4,2014-10-08,Preventive,,0.9,376.71,No,Normal,Yes
Motor-0279,Motor,2014-05-16,0.4,2014-10-11,Corrective,Mechanical-Break,6.0,1212.25,Yes,High,Yes
Filter-0651,Filter,2014-08-13,0.2,2014-10-12,Preventive,,2.6,570.56,No,Normal,Yes
Valve-0165,Valve,2014-04-14,0.5,2014-10-15,Emergency,Blockage,13.7,17511.59,Yes,Critical,Yes
Valve-0149,Valve,2014-06-06,0.4,2014-10-16,Preventive,,2.7,1018.86,No,Normal,Yes
Meter-0839,Meter,2014-07-13,0.3,2014-10-18,Preventive,,3.7,980.63,No,Normal,Yes
Valve-0184,Valve,2014-05-18,0.4,2014-10-21,Corrective,Software-Error,5.6,4509.41,Yes,High,Yes
Sensor-0694,Sensor,2014-05-14,0.4,2014-10-22,Corrective,Calibration-Drift,3.5,4185.66,No,High,Yes
Pump-0068,Pump,2014-01-15,0.8,2014-10-24,Preventive,,0.7,368.21,No,Normal,Yes
Motor-0316,Motor,2014-04-07,0.5,2014-10-24,Preventive,,2.7,1031.25,No,Normal,Yes
Valve-0144,Valve,2014-03-27,0.6,2014-10-26,Preventive,,3.4,1469.99,No,Normal,Yes
Pump-0016,Pump,2014-05-12,0.5,2014-10-27,Corrective,Software-Error,3.3,3103.4,No,High,Yes
Sensor-0704,Sensor,2014-04-20,0.5,2014-10-27,Corrective,Bearing-Failure,9.2,4203.97,No,High,Yes
Chlorinator-0488,Chlorinator,2014-07-15,0.3,2014-10-29,Preventive,,1.6,898.71,No,Normal,Yes
Pump-0085,Pump,2014-06-18,0.4,2014-10-30,Preventive,,2.1,891.95,No,Normal,Yes
Chlorinator-0572,Chlorinator,2014-08-01,0.2,2014-10-30,Corrective,Mechanical-Break,5.2,1372.8,No,High,Yes
Pipe-Section-0406,Pipe-Section,2014-01-11,0.8,2014-10-31,Preventive,,1.2,550.48,No,Normal,Yes
Pipe-Section-0435,Pipe-Section,2014-02-07,0.7,2014-10-31,Corrective,Software-Error,4.5,4177.31,Yes,High,Yes
Pump-0023,Pump,2014-06-13,0.4,2014-11-01,Emergency,Corrosion,36.6,6076.24,Yes,Critical,Yes
Valve-0236,Valve,2014-05-14,0.5,2014-11-06,Calibration,,1.0,443.35,No,Normal,Yes
Chlorinator-0528,Chlorinator,2014-05-21,0.5,2014-11-06,Corrective,Blockage,10.6,7752.57,No,High,Yes
Pipe-Section-0351,Pipe-Section,2014-08-06,0.3,2014-11-09,Preventive,,0.9,1222.92,No,Normal,Yes
Meter-0880,Meter,2014-02-08,0.8,2014-11-11,Preventive,,1.2,200.32,No,Normal,Yes
Pump-0036,Pump,2014-03-23,0.6,2014-11-12,Preventive,,3.3,696.96,No,Normal,Yes
Chlorinator-0505,Chlorinator,2014-02-19,0.7,2014-11-12,Preventive,,3.7,246.38,No,Normal,Yes
Chlorinator-0537,Chlorinator,2014-03-31,0.6,2014-11-12,Preventive,,4.0,772.49,No,Normal,Yes
Chlorinator-0555,Chlorinator,2014-07-10,0.4,2014-11-15,Emergency,Corrosion,25.7,15594.34,Yes,Critical,Yes
Valve-0192,Valve,2014-07-23,0.3,2014-11-17,Preventive,,1.0,1090.0,No,Normal,Yes
Sensor-0777,Sensor,2014-09-29,0.1,2014-11-20,Emergency,Electrical-Fault,31.1,21070.32,No,Critical,Yes
Valve-0204,Valve,2014-02-07,0.8,2014-11-21,Corrective,Bearing-Failure,2.6,7201.81,Yes,High,Yes
Sensor-0717,Sensor,2014-05-10,0.5,2014-11-21,Corrective,Electrical-Fault,5.0,7952.5,Yes,High,Yes
Valve-0193,Valve,2014-10-10,0.1,2014-11-22,Emergency,Mechanical-Break,27.8,15783.88,Yes,Critical,Yes
Pipe-Section-0380,Pipe-Section,2014-10-12,0.1,2014-11-24,Emergency,Electrical-Fault,22.2,16703.61,Yes,Critical,Yes
Meter-0882,Meter,2014-03-19,0.7,2014-11-24,Preventive,,2.4,303.42,No,Normal,Yes
Valve-0190,Valve,2014-04-28,0.6,2014-11-29,Preventive,,3.2,633.9,No,Normal,Yes
Pump-0116,Pump,2014-07-07,0.4,2014-11-30,Preventive,,3.3,659.84,No,Normal,Yes
Motor-0279,Motor,2014-05-16,0.5,2014-12-01,Calibration,,1.7,169.79,No,Normal,Yes
Pipe-Section-0463,Pipe-Section,2014-03-06,0.7,2014-12-02,Preventive,,1.6,871.44,No,Normal,Yes
Meter-0855,Meter,2014-01-28,0.8,2014-12-04,Preventive,,3.3,935.21,No,Normal,Yes
Valve-0144,Valve,2014-03-27,0.7,2014-12-07,Emergency,Corrosion,4.3,22009.31,Yes,Critical,Yes
Pump-0023,Pump,2014-06-13,0.5,2014-12-08,Corrective,Bearing-Failure,2.0,4070.63,Yes,High,Yes
Pump-0026,Pump,2014-08-15,0.3,2014-12-08,Emergency,Corrosion,39.3,8688.22,No,Critical,Yes
Motor-0283,Motor,2014-01-15,0.9,2014-12-09,Preventive,,2.9,351.07,No,Normal,Yes
Pump-0022,Pump,2014-03-17,0.7,2014-12-10,Preventive,,3.3,422.06,No,Normal,Yes
Chlorinator-0554,Chlorinator,2014-05-02,0.6,2014-12-11,Preventive,,1.8,353.61,No,Normal,Yes
Pump-0036,Pump,2014-03-23,0.7,2014-12-12,Corrective,Calibration-Drift,11.8,2077.14,Yes,High,Yes
Filter-0650,Filter,2014-07-27,0.4,2014-12-12,Preventive,,4.0,880.17,No,Normal,Yes
Pump-0038,Pump,2014-02-28,0.8,2014-12-14,Preventive,,3.9,453.32,No,Normal,Yes
Pump-0101,Pump,2014-05-18,0.6,2014-12-15,Preventive,,1.5,857.05,No,Normal,Yes
Meter-0839,Meter,2014-07-13,0.4,2014-12-16,Emergency,Bearing-Failure,29.9,5655.47,No,Critical,Yes
Motor-0287,Motor,2014-07-07,0.4,2014-12-17,Preventive,,3.2,298.18,No,Normal,Yes
Meter-0908,Meter,2014-05-23,0.6,2014-12-21,Preventive,,3.9,950.72,No,Normal,Yes
Motor-0316,Motor,2014-04-07,0.7,2014-12-22,Preventive,,3.6,1042.74,No,Normal,Yes
Chlorinator-0497,Chlorinator,2014-08-14,0.4,2014-12-23,Preventive,,3.7,850.89,No,Normal,Yes
Pipe-Section-0404,Pipe-Section,2014-11-24,0.1,2014-12-24,Emergency,Blockage,5.8,22394.14,No,Critical,Yes
Sensor-0717,Sensor,2014-05-10,0.6,2014-12-24,Corrective,Corrosion,4.0,3020.37,Yes,High,Yes
Pump-0068,Pump,2014-01-15,0.9,2014-12-25,Preventive,,2.0,1026.08,No,Normal,Yes
Pipe-Section-0359,Pipe-Section,2014-10-11,0.2,2014-12-27,Corrective,Wear,8.1,1548.72,No,High,Yes
Chlorinator-0530,Chlorinator,2014-01-25,0.9,2014-12-28,Preventive,,2.4,1128.48,No,Normal,Yes
Meter-0903,Meter,2014-10-16,0.2,2014-12-28,Preventive,,2.6,1120.21,No,Normal,Yes
Valve-0184,Valve,2014-05-18,0.6,2015-01-01,Preventive,,2.9,1120.49,No,Normal,Yes
Chlorinator-0547,Chlorinator,2014-12-01,0.1,2015-01-02,Corrective,Software-Error,10.1,5071.72,Yes,High,Yes
Meter-0880,Meter,2014-02-08,0.9,2015-01-03,Corrective,Seal-Leak,9.8,4083.93,No,High,Yes
Motor-0321,Motor,2014-07-21,0.5,2015-01-05,Preventive,,3.2,1465.22,No,Normal,Yes
Filter-0622,Filter,2014-04-13,0.7,2015-01-05,Calibration,,1.1,192.64,No,Normal,Yes
Sensor-0762,Sensor,2014-05-21,0.6,2015-01-05,Corrective,Mechanical-Break,11.3,4956.27,No,High,Yes
Chlorinator-0535,Chlorinator,2014-11-15,0.1,2015-01-06,Preventive,,2.3,1084.17,No,Normal,Yes
Filter-0626,Filter,2014-07-17,0.5,2015-01-06,Preventive,,0.5,878.97,No,Normal,Yes
Pump-0016,Pump,2014-05-12,0.7,2015-01-07,Preventive,,3.9,887.57,No,Normal,Yes
Pipe-Section-0426,Pipe-Section,2014-10-13,0.2,2015-01-09,Preventive,,1.8,1140.26,No,Normal,Yes
Sensor-0770,Sensor,2014-09-28,0.3,2015-01-09,Corrective,Electrical-Fault,1.3,1368.52,No,High,Yes
Pipe-Section-0479,Pipe-Section,2014-10-09,0.3,2015-01-10,Preventive,,2.2,1010.98,No,Normal,Yes
Meter-0894,Meter,2014-09-12,0.3,2015-01-10,Preventive,,3.3,708.1,No,Normal,Yes
Pump-0071,Pump,2014-12-13,0.1,2015-01-12,Preventive,,2.1,1320.11,No,Normal,Yes
Pipe-Section-0472,Pipe-Section,2014-05-22,0.6,2015-01-12,Preventive,,2.2,985.8,No,Normal,Yes
Valve-0193,Valve,2014-10-10,0.3,2015-01-15,Corrective,Mechanical-Break,2.1,3368.23,No,High,Yes
Chlorinator-0539,Chlorinator,2014-10-15,0.3,2015-01-15,Emergency,Seal-Leak,26.5,14167.7,No,Critical,Yes
Filter-0629,Filter,2014-12-03,0.1,2015-01-15,Preventive,,1.8,898.18,No,Normal,Yes
Chlorinator-0569,Chlorinator,2014-02-28,0.9,2015-01-17,Inspection,,0.4,249.89,No,Normal,Yes
Motor-0346,Motor,2014-03-01,0.9,2015-01-18,Corrective,Software-Error,11.5,7338.99,Yes,High,Yes
Pipe-Section-0374,Pipe-Section,2014-06-17,0.6,2015-01-20,Preventive,,3.2,886.88,No,Normal,Yes
Meter-0882,Meter,2014-03-19,0.8,2015-01-20,Emergency,Mechanical-Break,14.2,10664.72,Yes,Critical,Yes
Chlorinator-0552,Chlorinator,2014-02-22,0.9,2015-01-22,Preventive,,1.0,767.02,No,Normal,Yes
Sensor-0694,Sensor,2014-05-14,0.7,2015-01-22,Preventive,,1.8,594.6,No,Normal,Yes
Chlorinator-0528,Chlorinator,2014-05-21,0.7,2015-01-24,Preventive,,0.7,348.13,No,Normal,Yes
Valve-0210,Valve,2014-09-19,0.4,2015-01-25,Preventive,,2.8,1235.04,No,Normal,Yes
Sensor-0703,Sensor,2014-06-01,0.7,2015-01-25,Corrective,Seal-Leak,10.3,1377.26,Yes,High,Yes
Pipe-Section-0440,Pipe-Section,2014-09-02,0.4,2015-01-27,Preventive,,0.6,829.76,No,Normal,Yes
Filter-0642,Filter,2014-05-26,0.7,2015-01-27,Preventive,,2.7,362.58,No,Normal,Yes
Motor-0279,Motor,2014-05-16,0.7,2015-01-28,Corrective,Blockage,1.1,2624.08,No,High,Yes
Filter-0601,Filter,2014-11-07,0.2,2015-01-28,Corrective,Bearing-Failure,7.4,2893.32,Yes,High,Yes
Valve-0144,Valve,2014-03-27,0.8,2015-01-29,Corrective,Corrosion,11.2,2371.49,No,High,Yes
Motor-0247,Motor,2014-03-01,0.9,2015-01-30,Preventive,,3.8,1003.12,No,Normal,Yes
Filter-0633,Filter,2014-10-30,0.3,2015-01-30,Preventive,,1.5,997.16,No,Normal,Yes
Pipe-Section-0442,Pipe-Section,2014-02-17,1.0,2015-01-31,Preventive,,1.5,386.08,No,Normal,Yes
Filter-0651,Filter,2014-08-13,0.5,2015-01-31,Corrective,Software-Error,9.9,7971.51,Yes,High,Yes
Valve-0149,Valve,2014-06-06,0.7,2015-02-01,Preventive,,1.7,628.54,No,Normal,Yes
Valve-0219,Valve,2014-03-31,0.8,2015-02-03,Preventive,,1.8,1188.08,No,Normal,Yes
Pipe-Section-0404,Pipe-Section,2014-11-24,0.2,2015-02-03,Corrective,Wear,2.6,1378.69,Yes,High,Yes
Motor-0287,Motor,2014-07-07,0.6,2015-02-04,Emergency,Wear,10.7,12734.7,No,Critical,Yes
Valve-0165,Valve,2014-04-14,0.8,2015-02-13,Preventive,,2.6,762.48,No,Normal,Yes
Filter-0627,Filter,2014-10-22,0.3,2015-02-13,Preventive,,3.6,1396.58,No,Normal,Yes
Pump-0022,Pump,2014-03-17,0.9,2015-02-14,Preventive,,1.9,831.91,No,Normal,Yes
Chlorinator-0488,Chlorinator,2014-07-15,0.6,2015-02-16,Corrective,Blockage,11.6,6154.15,No,High,Yes
Sensor-0736,Sensor,2015-01-12,0.1,2015-02-16,Emergency,Electrical-Fault,42.7,16362.56,No,Critical,Yes
Meter-0839,Meter,2014-07-13,0.6,2015-02-16,Preventive,,2.3,1356.3,No,Normal,Yes
Pump-0023,Pump,2014-06-13,0.7,2015-02-17,Preventive,,4.0,856.91,No,Normal,Yes
Sensor-0688,Sensor,2014-07-17,0.6,2015-02-19,Preventive,,3.3,1347.26,No,Normal,Yes
Sensor-0762,Sensor,2014-05-21,0.8,2015-02-20,Emergency,Mechanical-Break,22.8,5113.07,No,Critical,Yes
Chlorinator-0532,Chlorinator,2015-01-12,0.1,2015-02-21,Emergency,Seal-Leak,34.8,7475.32,Yes,Critical,Yes
Sensor-0767,Sensor,2014-12-19,0.2,2015-02-22,Corrective,Electrical-Fault,5.0,3239.43,Yes,High,Yes
Filter-0681,Filter,2014-11-20,0.3,2015-02-23,Corrective,Corrosion,8.2,2446.3,Yes,High,Yes
Valve-0236,Valve,2014-05-14,0.8,2015-02-25,Preventive,,1.7,1050.97,No,Normal,Yes
Pump-0038,Pump,2014-02-28,1.0,2015-02-26,Preventive,,2.8,1106.26,No,Normal,Yes
Pipe-Section-0351,Pipe-Section,2014-08-06,0.6,2015-02-28,Emergency,Corrosion,33.3,6482.42,Yes,Critical,Yes
Motor-0336,Motor,2014-10-30,0.3,2015-03-01,Preventive,,1.3,711.15,No,Normal,Yes
Pump-0007,Pump,2014-07-11,0.6,2015-03-02,Corrective,Seal-Leak,10.5,6998.1,No,High,Yes
Meter-0909,Meter,2014-09-14,0.5,2015-03-02,Preventive,,1.6,383.39,No,Normal,Yes
Valve-0184,Valve,2014-05-18,0.8,2015-03-07,Preventive,,2.8,213.93,No,Normal,Yes
Pipe-Section-0423,Pipe-Section,2015-02-04,0.1,2015-03-07,Emergency,Bearing-Failure,20.7,14931.37,No,Critical,Yes
Filter-0663,Filter,2015-01-22,0.1,2015-03-07,Corrective,Bearing-Failure,4.5,3542.44,Yes,High,Yes
Meter-0863,Meter,2014-03-18,1.0,2015-03-07,Preventive,,1.5,863.18,No,Normal,Yes
Filter-0626,Filter,2014-07-17,0.6,2015-03-08,Corrective,Bearing-Failure,3.9,7884.84,No,High,Yes
Valve-0162,Valve,2014-10-17,0.4,2015-03-09,Corrective,Electrical-Fault,1.3,5722.64,Yes,High,Yes
Chlorinator-0572,Chlorinator,2014-08-01,0.6,2015-03-09,Preventive,,1.5,699.94,No,Normal,Yes
Filter-0678,Filter,2014-01-30,1.1,2015-03-09,Corrective,Calibration-Drift,1.9,3652.13,No,High,Yes
Pump-0085,Pump,2014-06-18,0.7,2015-03-12,Preventive,,2.7,990.31,No,Normal,Yes
Pipe-Section-0404,Pipe-Section,2014-11-24,0.3,2015-03-13,Inspection,,1.5,377.97,No,Normal,Yes
Chlorinator-0554,Chlorinator,2014-05-02,0.9,2015-03-13,Corrective,Blockage,11.2,1932.68,No,High,Yes
Pipe-Section-0406,Pipe-Section,2014-01-11,1.2,2015-03-14,Preventive,,2.9,971.49,No,Normal,Yes
Pump-0101,Pump,2014-05-18,0.8,2015-03-17,Corrective,Wear,10.6,4176.57,Yes,High,Yes
Pipe-Section-0461,Pipe-Section,2014-04-10,0.9,2015-03-17,Preventive,,1.0,1430.54,No,Normal,Yes
Meter-0890,Meter,2014-10-09,0.4,2015-03-17,Corrective,Calibration-Drift,11.4,3863.04,Yes,High,Yes
Motor-0283,Motor,2014-01-15,1.2,2015-03-19,Preventive,,2.7,358.22,No,Normal,Yes
Chlorinator-0537,Chlorinator,2014-03-31,1.0,2015-03-19,Corrective,Wear,4.0,3830.82,Yes,High,Yes
Chlorinator-0551,Chlorinator,2014-11-13,0.3,2015-03-19,Preventive,,3.6,852.72,No,Normal,Yes
Sensor-0777,Sensor,2014-09-29,0.5,2015-03-19,Corrective,Seal-Leak,10.5,6700.65,No,High,Yes
Pump-0071,Pump,2014-12-13,0.3,2015-03-20,Preventive,,3.6,245.95,No,Normal,Yes
Valve-0190,Valve,2014-04-28,0.9,2015-03-23,Inspection,,0.3,332.73,No,Normal,Yes
Pipe-Section-0426,Pipe-Section,2014-10-13,0.4,2015-03-23,Preventive,,0.7,255.45,No,Normal,Yes
Meter-0882,Meter,2014-03-19,1.0,2015-03-23,Emergency,Electrical-Fault,47.2,22765.93,No,Critical,Yes
Sensor-0717,Sensor,2014-05-10,0.9,2015-03-26,Preventive,,4.0,1261.49,No,Normal,Yes
Chlorinator-0535,Chlorinator,2014-11-15,0.4,2015-03-28,Inspection,,0.5,478.48,No,Normal,Yes
Valve-0192,Valve,2014-07-23,0.7,2015-03-30,Preventive,,1.9,1026.76,No,Normal,Yes
Pipe-Section-0351,Pipe-Section,2014-08-06,0.6,2015-03-30,Corrective,Software-Error,5.3,5656.83,Yes,High,Yes
Pipe-Section-0370,Pipe-Section,2014-06-04,0.8,2015-03-30,Preventive,,3.5,1238.47,No,Normal,Yes
Pump-0036,Pump,2014-03-23,1.0,2015-03-31,Preventive,,2.8,1116.64,No,Normal,Yes
Valve-0219,Valve,2014-03-31,1.0,2015-03-31,Emergency,Mechanical-Break,18.2,9330.59,No,Critical,Yes
Pipe-Section-0463,Pipe-Section,2014-03-06,1.1,2015-03-31,Preventive,,2.9,1416.79,No,Normal,Yes
Pump-0068,Pump,2014-01-15,1.2,2015-04-03,Preventive,,0.7,1134.72,No,Normal,Yes
Pipe-Section-0380,Pipe-Section,2014-10-12,0.5,2015-04-06,Preventive,,2.8,1467.98,No,Normal,Yes
Sensor-0703,Sensor,2014-06-01,0.8,2015-04-06,Preventive,,3.3,871.56,No,Normal,Yes
Valve-0204,Valve,2014-02-07,1.2,2015-04-08,Preventive,,1.6,625.64,No,Normal,Yes
Chlorinator-0555,Chlorinator,2014-07-10,0.7,2015-04-08,Emergency,Calibration-Drift,27.1,17326.92,No,Critical,Yes
Sensor-0688,Sensor,2014-07-17,0.7,2015-04-08,Corrective,Mechanical-Break,5.8,7499.98,Yes,High,Yes
Pipe-Section-0373,Pipe-Section,2014-11-06,0.4,2015-04-09,Preventive,,0.5,1203.3,No,Normal,Yes
Pipe-Section-0392,Pipe-Section,2015-02-16,0.1,2015-04-09,Emergency,Mechanical-Break,36.2,9363.59,No,Critical,Yes
Valve-0162,Valve,2014-10-17,0.5,2015-04-10,Calibration,,0.8,144.61,No,Normal,Yes
Motor-0271,Motor,2014-10-25,0.5,2015-04-11,Preventive,,2.9,436.43,No,Normal,Yes
Sensor-0739,Sensor,2015-01-28,0.2,2015-04-13,Corrective,Software-Error,11.8,3501.94,No,High,Yes
Motor-0346,Motor,2014-03-01,1.1,2015-04-15,Corrective,Electrical-Fault,10.5,6251.01,No,High,Yes
Motor-0287,Motor,2014-07-07,0.8,2015-04-16,Preventive,,3.6,552.44,No,Normal,Yes
Filter-0651,Filter,2014-08-13,0.7,2015-04-17,Preventive,,1.3,1406.28,No,Normal,Yes
Filter-0685,Filter,2014-11-07,0.4,2015-04-17,Preventive,,2.4,1473.02,No,Normal,Yes
Pipe-Section-0461,Pipe-Section,2014-04-10,1.0,2015-04-18,Corrective,Blockage,8.8,2049.99,Yes,High,Yes
